name,date,rank,diff
마기아 : 카르마 사가,2019_09_21,101,0
마기아 : 카르마 사가,2019_09_22,101,0
마기아 : 카르마 사가,2019_09_23,101,0
마기아 : 카르마 사가,2019_09_24,101,0
마기아 : 카르마 사가,2019_09_25,101,0
마기아 : 카르마 사가,2019_09_26,101,0
마기아 : 카르마 사가,2019_09_27,101,0
마기아 : 카르마 사가,2019_09_28,101,0
마기아 : 카르마 사가,2019_09_29,101,0
마기아 : 카르마 사가,2019_09_30,101,0
마기아 : 카르마 사가,2019_10_01,101,0
마기아 : 카르마 사가,2019_10_02,101,0
마기아 : 카르마 사가,2019_10_03,101,0
마기아 : 카르마 사가,2019_10_04,101,0
마기아 : 카르마 사가,2019_10_05,101,0
마기아 : 카르마 사가,2019_10_06,101,0
마기아 : 카르마 사가,2019_10_07,101,0
마기아 : 카르마 사가,2019_10_08,101,0
마기아 : 카르마 사가,2019_10_09,101,0
마기아 : 카르마 사가,2019_10_10,101,0
마기아 : 카르마 사가,2019_10_11,101,0
마기아 : 카르마 사가,2019_10_12,101,0
마기아 : 카르마 사가,2019_10_13,101,0
마기아 : 카르마 사가,2019_10_14,101,0
마기아 : 카르마 사가,2019_10_15,101,0
마기아 : 카르마 사가,2019_10_16,101,0
마기아 : 카르마 사가,2019_10_17,101,0
마기아 : 카르마 사가,2019_10_18,101,0
마기아 : 카르마 사가,2019_10_19,101,0
마기아 : 카르마 사가,2019_10_20,101,0
마기아 : 카르마 사가,2019_10_21,101,0
마기아 : 카르마 사가,2019_10_22,101,0
마기아 : 카르마 사가,2019_10_23,101,0
마기아 : 카르마 사가,2019_10_24,101,0
마기아 : 카르마 사가,2019_10_25,101,0
마기아 : 카르마 사가,2019_10_26,101,0
마기아 : 카르마 사가,2019_10_27,101,0
마기아 : 카르마 사가,2019_10_28,101,0
마기아 : 카르마 사가,2019_10_29,101,0
마기아 : 카르마 사가,2019_10_30,101,76
마기아 : 카르마 사가,2019_10_31,25,1
마기아 : 카르마 사가,2019_11_01,26,11
마기아 : 카르마 사가,2019_11_02,37,57
마기아 : 카르마 사가,2019_11_03,94,7
