title,count,date,good_count,bad_count,youtuber,subscriber,url
[진화소녀] 진화소녀 Official Teaser (90 Sec.),"조회수 1,960회",2019. 10. 20.,10,2,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=CQL2HPS4RvM
[진화소녀] 역시!! 미소녀는 실망시키지 않는군!! ㅋㅋ 모바일게임리뷰 엉아,"조회수 28,126회",2019. 10. 22.,215,25,엉아 TV,구독자 1.54만명,https://www.youtube.com/watch?v=0u9ZmbW35Dg
진화소녀(CBT) 초반 플레이 영상,"조회수 5,568회",2019. 10. 22.,13,0,겜조TV,구독자 3.89천명,https://www.youtube.com/watch?v=ak9nlDNKyXs
Evolution Girl 진화 소녀 Gameplay (Android),조회수 434회,2019. 10. 23.,7,3,RyoXIII Gaming,구독자 3.79천명,https://www.youtube.com/watch?v=XvW7l8-kjXA
[진화소녀]3-2 보스:아직 오려면 3분은 있어야../ [보스 스테이지로 순간이동] 아이템 확인 /보스:?,조회수 66회,2019. 10. 23.,1,0,T Werewolf,,https://www.youtube.com/watch?v=FudtsIfBAWU
[진화소녀]3-1 이 카멜레온 보스는 피가 깎이면 자기 부하를 먹어요,조회수 66회,2019. 10. 23.,1,0,T Werewolf,,https://www.youtube.com/watch?v=h-gS9D_BF_o
[진화소녀]2-5,조회수 659회,2019. 10. 23.,2,0,T Werewolf,,https://www.youtube.com/watch?v=YaWWBNIHXSM
새로운 미소녀 수집형 모바일 (진화소녀 CBT),"조회수 2,717회",2019. 10. 24.,11,0,라프TV,구독자 6.3천명,https://www.youtube.com/watch?v=LcY3EYmNxMY
진화소녀 CBT플레이/미소녀 수집RPG/퍼즐형 전투/모바일게임(MobileGame),"조회수 1,166회",2019. 10. 24.,8,0,게임똥 보고서,구독자 1.52천명,https://www.youtube.com/watch?v=JikpHWaKSTQ
(진화소녀) 역사속 위인들이 미소녀로 부활! 캐릭터 소개/스킬 영상,"조회수 2,131회",2019. 10. 24.,22,3,노병Tv,,https://www.youtube.com/watch?v=eaTXBg_mwtI
Akhirnya rilis juga - Evolution Girl[진화소녀],조회수 37회,2019. 10. 26.,좋아요,싫어요,Elsea,구독자 12명,https://www.youtube.com/watch?v=0hpuEW7LVW4
진화소녀,조회수 155회,2019. 10. 28.,0,1,이밴을하자,구독자 47명,https://www.youtube.com/watch?v=t9FbC24pPrU
[진화소녀] 진화소녀 Official Trailer (30 Sec.),"조회수 86,610회",2019. 10. 29.,2,1,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=IjGgfrF_Idw
[진화소녀] 진화소녀 Official Trailer (90 Sec.),"조회수 204,215회",2019. 10. 29.,113,16,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=5J8JJimAQPg
[진화소녀] 진화소녀 Illustration Making Film Emyo Ver.,조회수 401회,2019. 11. 10.,4,0,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=yor0lOkSzZs
[진화소녀] 진화소녀 Illustration Making Film HxxG Ver.,"조회수 1,593회",2019. 11. 10.,47,0,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=58GkHlCYNyQ
[진화소녀] 진화소녀 OST Making Film Fin Ver.,"조회수 278,613회",2019. 11. 10.,350,5,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=-xbocq-O5ZE
[진화소녀] 진화소녀 Illustration Making Film Gomzi Ver.,"조회수 3,037회",2019. 11. 10.,33,0,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=uzVtAkqdX2E
[진화소녀] 진화소녀 Illustration Making Film Rojo Ver.,조회수 998회,2019. 11. 10.,13,0,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=n-UH4z3ZgZo
[진화소녀] 진화소녀 Illustration Making Film PiKA Ver.,"조회수 2,700회",2019. 11. 10.,44,0,THUMBAGE,구독자 257명,https://www.youtube.com/watch?v=L51t5XKzA_Q
