rank,name
1,Rescue Cut - Rope Puzzle
2,Brain Out – 가장 어색한 게임
3,DX : 신 세기의 전쟁
4,Icing On The Cake
5,킹 오브 타워
6,콜 오브 듀티: 모바일
7,신강호
8,Crazy Shopping
9,Minecraft Earth
10,Zipline Valley - 물리학 퍼즐 게임
11,로드 크래쉬
12,세인트 세이야 : 각성
13,완미세계
14,무한의 계단
15,라이즈 오브 킹덤즈
16,데이트 어 라이브: 다시 만난 정령
17,브롤스타즈
18,Drop & Smash
19,동물극장 - 귀여운 동물들과 영화보며 힐링
20,기적의 검
21,King of Avalon: 전략 멀티 플레이어 전쟁 | 드래곤 전쟁
22,Granny Legend
23,메탈슬러그 인피니티 - 방치형 RPG
24,리치리치
25,꿈의 집 (Homescapes)
26,Draw Around
27,Puzzle Fuzzle
28,꽃피는 달빛
29,달빛조각사
30,Rolling Domino
31,쿠키런: 오븐브레이크
32,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
33,꿈의 정원 (Gardenscapes)
34,톰 오브 더 마스크: 컬러
35,궁수의 전설
36,Minecraft 체험판
37,ROBLOX
38,I Peel Good
39,바이러스 워 - 우주 슈팅 게임
40,Empires & Puzzles: RPG Quest
41,워드퍼즐 - 단어 게임
42,익스트림풋볼:3대3 멀티 축구
43,로얄 다이스(Royal Dice) : 랜덤 디펜스
44,배틀그라운드
45,판타지타운
46,꿈의 마을 (Township)
47,Perfect Slices
48,Collect Cubes
49,무한의 농장
50,Sand Balls
51,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
52,Magic Tiles 3
53,피망 뉴맞고 : 고스톱으로 대한민국 1등
54,클래시 로얄
55,지오메트리 대시 라이트 (Geometry Dash L)
56,Fun Race 3D
57,Soul Land: 엘피스 전기
58,Rider
59,3차원 채우기 (Fill in 3D)
60,Wrecking Ball
61,Cool Goal!
62,펭귄의 섬
63,Zooba - 동물원 배틀 아레나
64,Block Puzzle Universe
65,Mr Bullet - 스파이 퍼즐
66,토킹톰 골드런
67,1945
68,롤링 스카이
69,aquapark.io
70,좀비고등학교
71,토킹톰 히어로 대시
72,스도쿠 - 무료 클래식 스도쿠 퍼즐
73,Gang Clash
74,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
75,Dancing Road: Color Ball Run!
76,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
77,용사식당
78,"좋은 피자, 위대한 피자"
79,오늘도 우라라 원시 헌팅 라이프
80,Happy Glass
81,Kick the Buddy: Forever
82,Mahjong City Tours
83,OX 퀴즈 서바이벌 100
84,Marbleous!
85,신비아파트 고스트헌터
86,Nonogram.com - 픽처 크로스 퍼즐 게임
87,Perfect Paint
88,Run Race 3D
89,매직 직소 퍼즐
90,Paper.io 2
91,놈 플랜트
92,Merge Robots - Idle Tycoon Games 2019
93,The Real Juggle
94,Color Saw 3D
95,무한의 기차
96,노블레스 : 제로 with NAVER WEBTOON
97,슈퍼펭귄 (Super Penguins)
98,숨바꼭질 온라인 - 실시간 숨바꼭질
99,마피아42
100,봉인의서
