rank,name
1,리니지2M(19)
2,리니지2M(12)
3,Brain Out – 가장 어색한 게임
4,게임빌프로야구 슈퍼스타즈
5,엑소스 히어로즈
6,Park of Monster
7,Pocket World 3D
8,Sky Roller
9,Puzzrama (퍼즈라마)
10,Ink Inc. - Tattoo Tycoon
11,무한의 계단
12,워드퍼즐 - 단어 게임
13,킹 오브 타워
14,Cannon Shot!
15,Rusty Blower 3D
16,고수 with NAVER WEBTOON
17,Clash of Blocks
18,탄탄러시
19,브롤스타즈
20,무한의 농장
21,기적의 검
22,콜 오브 듀티: 모바일
23,Tales Rush!
24,꿈의 집 (Homescapes)
25,꿈의 정원 (Gardenscapes)
26,Fun Race 3D
27,애프터라이프
28,왕비의 맛
29,Mr Bullet - 스파이 퍼즐
30,염왕이 뿔났다
31,Run Race 3D
32,계급장 키우기
33,Sandwich!
34,킹 오브 파이터 올스타
35,로드 크래쉬
36,Dancing Line
37,Pokémon GO
38,Crazy Shopping
39,배틀그라운드
40,Rescue Cut - Rope Puzzle
41,꽃피는 달빛
42,Icing On The Cake
43,ROBLOX
44,Supreme Duelist Stickman
45,라이즈 오브 킹덤즈
46,꿈의 마을 (Township)
47,펭귄의 섬
48,Gang Clash
49,두근두근 레스토랑: 헬로키티 콜라보레이션
50,신강호
51,바이러스 워 - 우주 슈팅 게임
52,Minecraft 체험판
53,궁수의 전설
54,밥 먹고 갈래요?
55,Paper.io 2
56,클래시 로얄
57,Sand Balls
58,Perfect Slices
59,Color Saw 3D
60,보틀 점프 3D
61,V4
62,aquapark.io
63,Square Bird
64,Dancing Road: Color Ball Run!
65,Rider
66,질풍닌자전
67,Piano Tiles 2™
68,Wrecking Ball
69,Block Puzzle Universe
70,Rummikub
71,Zipline Valley - 물리학 퍼즐 게임
72,Stencil Art - Spray Masters
73,지오메트리 대시 라이트 (Geometry Dash L)
74,1945
75,Tank Stars
76,마피아42
77,"좋은 피자, 위대한 피자"
78,Cool Goal!
79,Overloaded
80,Puzzle Fuzzle
81,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
82,롤링 스카이
83,Crowd City
84,Marbleous!
85,피망 뉴맞고 : 고스톱으로 대한민국 1등
86,쿠키런: 오븐브레이크
87,오버독스
88,토킹톰 골드런
89,부탁해요 매니저님
90,Happy Glass
91,eFootball PES 2020
92,토킹톰 히어로 대시
93,Line Driver
94,Draw it
95,Magic Tiles 3
96,Hero Wars
97,쿠키런 for Kakao
98,숨바꼭질 온라인 - 실시간 숨바꼭질
99,Snowball.io
100,스도쿠 - 무료 클래식 스도쿠 퍼즐
