rank,name
1,Brain Out – 가장 어색한 게임
2,Ink Inc. - Tattoo Tycoon
3,꽃피는 달빛
4,탄탄러시
5,무한의 계단
6,킹 오브 타워
7,V4
8,Crazy Shopping
9,브롤스타즈
10,워드퍼즐 - 단어 게임
11,콜 오브 듀티: 모바일
12,로드 크래쉬
13,무한의 농장
14,Icing On The Cake
15,Sky Roller
16,Rescue Cut - Rope Puzzle
17,Zipline Valley - 물리학 퍼즐 게임
18,꿈의 집 (Homescapes)
19,라이즈 오브 킹덤즈
20,기적의 검
21,Run Race 3D
22,질풍닌자전
23,ROBLOX
24,Fun Race 3D
25,펭귄의 섬
26,Granny Legend
27,배틀그라운드
28,Supreme Duelist Stickman
29,신강호
30,Sand Balls
31,Minecraft 체험판
32,꿈의 정원 (Gardenscapes)
33,Perfect Slices
34,Cannon Shot!
35,Vlinder Life：Dressup Avatar & Fashion Doll
36,Dancing Road: Color Ball Run!
37,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
38,클래시 로얄
39,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
40,부탁해요 매니저님
41,Mr Bullet - 스파이 퍼즐
42,보틀 점프 3D
43,도끼.io
44,꿈의 마을 (Township)
45,Paper.io 2
46,Rider
47,궁수의 전설
48,aquapark.io
49,Drop & Smash
50,바이러스 워 - 우주 슈팅 게임
51,Puzzle Fuzzle
52,Piano Tiles 2™
53,지오메트리 대시 라이트 (Geometry Dash L)
54,Hunter Assassin
55,Magic Tiles 3
56,Pokémon GO
57,토킹톰 골드런
58,Cool Goal!
59,Tasty Planet Forever
60,쿠키런: 오븐브레이크
61,Color Saw 3D
62,Block Puzzle Rune
63,"좋은 피자, 위대한 피자"
64,판타지타운
65,이터:던전의 포식자
66,Gang Clash
67,Tiles Hop: EDM Rush!
68,좀비고등학교
69,Race.io
70,토킹톰 히어로 대시
71,히어로즈 스트라이크
72,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
73,롤링 스카이
74,Square Bird
75,신비아파트 고스트헌터
76,Hole.io
77,동물극장 - 귀여운 동물들과 영화보며 힐링
78,숨바꼭질 온라인 - 실시간 숨바꼭질
79,Draw it
80,삼국지 오리진
81,쿠키런 for Kakao
82,Crowd City
83,Clash of Blocks
84,달빛조각사
85,Rummikub
86,Snowball.io
87,마이토킹톰 2
88,로그의 전설
89,Pocket World 3D
90,Draw Around
91,미니카키우기
92,톰 오브 더 마스크: 컬러
93,꿈의 동물원 (Wildscapes)
94,Happy Glass
95,Robot Clash
96,슈퍼펭귄 (Super Penguins)
97,Collect Cubes
98,스택 볼 - 플랫폼을 다 뚫어버리세요 
99,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
100,피망 뉴맞고 : 고스톱으로 대한민국 1등
