rank,name
1,Pokémon Masters
2,Perfect Slices
3,보스레이브
4,Sand Balls
5,에오스 레드
6,쿵야 캐치마인드
7,Cool Goal!
8,브롤스타즈
9,Hoop Stars
10,꿈의 정원 (Gardenscapes)
11,Mr Bullet - 스파이 퍼즐
12,aquapark.io
13,Sandwich!
14,꿈의 집 (Homescapes)
15,궁수의 전설
16,Fun Race 3D
17,Color Fill 3D
18,클래식 어드벤처
19,미르의 전설2 어게인
20,꿈의 마을 (Township)
21,로드 모바일: 제국의 전쟁 - MMORPG
22,배틀그라운드
23,ROBLOX
24,Traffic Run!
25,Jelly Shift
26,Wrecking Ball
27,무한의 계단
28,"Numpuz: Classic Number Games, Num Riddle Puzzle"
29,아이돌마스터 밀리언 라이브! 시어터 데이즈
30,Run Race 3D
31,토킹톰 히어로 대시
32,Minecraft 체험판
33,모두의마블
34,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
35,피망 뉴맞고 : 고스톱으로 대한민국 1등
36,Amazing PG Frog Simulator
37,Crowd City
38,Happy Glass
39,Rummikub
40,OnPipe
41,Paper.io 2
42,냥코 대전쟁
43,토킹톰 골드런
44,Bottle Flip 3D
45,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
46,한게임 신맞고 : 대한민국 원조 고스톱
47,Rider
48,숨바꼭질 온라인 - 실시간 숨바꼭질
49,도끼.io
50,클래시 로얄
51,롤링 스카이
52,"좋은 피자, 위대한 피자"
53,Empires & Puzzles: RPG Quest
54,Snowball.io
55,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
56,아기 팬더: 공주 메이크업
57,Neon Splash
58,Blade Master - Mini Action RPG Game
59,Battle Disc
60,라플라스M
61,삼국지:략
62,스페이스 슈터: 외계인 슈팅게임
63,마피아42
64,Beach Clean
65,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
66,엄마는 라면 숨겼다 3 - 탈출 게임
67,의지의 히어로
68,피망 섯다
69,신비아파트 고스트헌터
70,Box simulator for Brawl stars
71,테라 클래식
72,마이토킹톰 2
73,Train Taxi
74,슈퍼펭귄 (Super Penguins)
75,벽돌깨기 퀘스트
76,Piano Tiles 2™
77,FIFA ONLINE 4 M by EA SPORTS™
78,삼국지 디펜스M
79,Rocket Sky!
80,Puzzle Fuzzle
81,Shootout 3D
82,지오메트리 대시 라이트 (Geometry Dash L)
83,Draw it
84,Magic Tiles 3
85,Tomb of the Mask
86,Idle Aqua Park
87,R0
88,쿠키런: 오븐브레이크
89,Supreme Duelist Stickman
90,행복의 저택
91,낚시 클래시: 스포츠 낚시 게임 (Fishing Clash)
92,아기 팬더의 패션 플라워 DIY
93,1945
94,Pokémon GO
95,라스트 쉘터 (Last Shelter: Survival)
96,좀비고등학교
97,Auto Chess
98,미라큘러스 레이디버그와 블랙캣
99,Dancing Road: Color Ball Run!
100,마피아 시티
