rank,name
1,달빛조각사
2,Brain Out – 가장 어색한 게임
3,콜 오브 듀티: 모바일
4,세레스M
5,라이즈 오브 킹덤즈
6,도시어부M
7,신의 연대기-신규서버오픈
8,Dinosaur Rampage
9,브롤스타즈
10,디지몬 리얼라이즈 -Digimon ReArise-
11,올스타 스매시
12,워드퍼즐 - 단어 게임
13,Mario Kart Tour
14,소울아크: 리부트
15,장기2.0
16,Bouncemasters!
17,무한의 계단
18,Square Bird
19,Perfect Slices
20,3차원 채우기 (Fill in 3D)
21,펭귄의 섬
22,Puzzle Fuzzle
23,I Peel Good
24,Cool Goal!
25,The Real Juggle
26,꿈의 집 (Homescapes)
27,숨바꼭질 온라인 - 실시간 숨바꼭질
28,이터:던전의 포식자
29,기적의 검
30,오늘도 우라라 원시 헌팅 라이프
31,장기의 달인
32,배틀그라운드
33,1945
34,꿈의 정원 (Gardenscapes)
35,Color Saw 3D
36,궁수의 전설
37,Sand Balls
38,Wrecking Ball
39,Granny Legend
40,Magic Tiles 3
41,Zipline Valley - 물리학 퍼즐 게임
42,바이러스 워 - 우주 슈팅 게임
43,ROBLOX
44,신비아파트 고스트헌터
45,Mr Bullet - 스파이 퍼즐
46,Fun Race 3D
47,Paper.io 2
48,좀비고등학교
49,aquapark.io
50,Zooba - 동물원 배틀 아레나
51,피망 뉴맞고 : 고스톱으로 대한민국 1등
52,피츠메이커
53,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
54,클래시 로얄
55,꿈의 마을 (Township)
56,Rider
57,Robot Clash
58,Minecraft 체험판
59,Empires & Puzzles: RPG Quest
60,Rope Slash
61,토킹톰 골드런
62,Color Fill 3D
63,Run Race 3D
64,Rummikub
65,리치리치
66,왕국건설 스토리
67,Crowd City
68,스케치퀴즈
69,지오메트리 대시 라이트 (Geometry Dash L)
70,마피아42
71,Happy Glass
72,Partymasters - Fun Idle Game
73,Shadow of Death: 다크니스 RPG - 지금 싸움을
74,피망 섯다
75,Icing On The Cake
76,"Numpuz: Classic Number Games, Num Riddle Puzzle"
77,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
78,토킹톰 히어로 대시
79,타워 브레이커(Tower Breaker) - 신의 탑 부수기
80,Supreme Duelist Stickman
81,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
82,Two Dots
83,슈퍼펭귄 (Super Penguins)
84,Line Color 3D
85,"Happy Color – 컬러링북, 숫자 색칠 게임"
86,쿵야 캐치마인드
87,보스레이브
88,쿠키런: 오븐브레이크
89,Jelly Shift
90,도끼.io
91,동물의 집
92,롤링 스카이
93,Hole.io
94,Granny: Chapter Two
95,Bottle Flip 3D
96,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
97,FIFA ONLINE 4 M by EA SPORTS™
98,Pokémon GO
99,회사 탈출3　-탈출 게임
100,무한의 농장
