rank,name
1,V4
2,Brain Out – 가장 어색한 게임
3,DX : 신 세기의 전쟁
4,판타지타운
5,Rescue Cut - Rope Puzzle
6,킹 오브 타워
7,브롤스타즈
8,Crazy Shopping
9,Icing On The Cake
10,콜 오브 듀티: 모바일
11,라이즈 오브 킹덤즈
12,무한의 계단
13,Sky Roller
14,Zipline Valley - 물리학 퍼즐 게임
15,히어로즈 스트라이크
16,로드 크래쉬
17,Marbleous!
18,배틀그라운드
19,무한의 농장
20,꽃피는 달빛
21,펭귄의 섬
22,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
23,질풍닌자전
24,오늘도 환생
25,꿈의 집 (Homescapes)
26,Drop & Smash
27,Magic Tiles 3
28,Fun Race 3D
29,워드퍼즐 - 단어 게임
30,기적의 검
31,매직 직소 퍼즐
32,Granny Legend
33,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
34,꿈의 마을 (Township)
35,롤링 스카이
36,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
37,꿈의 정원 (Gardenscapes)
38,달빛조각사
39,톰 오브 더 마스크: 컬러
40,Tasty Planet Forever
41,보틀 점프 3D
42,신강호
43,Piano Tiles 2™
44,궁수의 전설
45,"좋은 피자, 위대한 피자"
46,Empires & Puzzles: RPG Quest
47,Wrecking Ball
48,쿠키런: 오븐브레이크
49,피망 뉴맞고 : 고스톱으로 대한민국 1등
50,ROBLOX
51,Perfect Slices
52,리치리치
53,클래시 로얄
54,도끼.io
55,Puzzle Fuzzle
56,Sand Balls
57,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
58,로얄 다이스(Royal Dice) : 랜덤 디펜스
59,Minecraft 체험판
60,바이러스 워 - 우주 슈팅 게임
61,Hero Wars
62,Draw Around
63,냥코 대전쟁
64,블록 퍼즐
65,숨바꼭질 온라인 - 실시간 숨바꼭질
66,익스트림풋볼:3대3 멀티 축구
67,Rider
68,지오메트리 대시 라이트 (Geometry Dash L)
69,봉인의서
70,Cool Goal!
71,Ink Inc. - Tattoo Tycoon
72,Gang Clash
73,Mr Bullet - 스파이 퍼즐
74,리니지M
75,Clash of Blocks
76,Pokémon GO
77,Soul Knight
78,Rocket Sky!
79,스도쿠 - 무료 클래식 스도쿠 퍼즐
80,Collect Cubes
81,Run Race 3D
82,Perfect Paint
83,쌍삼국지
84,Dancing Road: Color Ball Run!
85,황제라 칭하라
86,메이플스토리M
87,1945
88,Kick the Buddy: Forever
89,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
90,토킹톰 골드런
91,Supreme Duelist Stickman
92,쿠키런 for Kakao
93,Robot Clash
94,aquapark.io
95,토킹톰 히어로 대시
96,Paper.io 2
97,삼국지 오리진
98,Mahjong City Tours
99,eFootball PES 2020
100,LoL 프렌즈
