rank,name
1,콜 오브 듀티: 모바일
2,Brain Out – 가장 어색한 게임
3,도시어부M
4,라이즈 오브 킹덤즈
5,Mario Kart Tour
6,신의 연대기-신규서버오픈
7,워드퍼즐 - 단어 게임
8,Dinosaur Rampage
9,브롤스타즈
10,The Real Juggle
11,3차원 채우기 (Fill in 3D)
12,Cool Goal!
13,I Peel Good
14,Puzzle Fuzzle
15,쌍삼국지
16,Perfect Slices
17,무한의 계단
18,보스레이브
19,꿈의 집 (Homescapes)
20,Color Saw 3D
21,Bouncemasters!
22,꿈의 정원 (Gardenscapes)
23,Square Bird
24,오늘도 우라라 원시 헌팅 라이프
25,기적의 검
26,배틀그라운드
27,Sand Balls
28,궁수의 전설
29,Zipline Valley - 물리학 퍼즐 게임
30,aquapark.io
31,바이러스 워 - 우주 슈팅 게임
32,올스타 스매시
33,피망 뉴맞고 : 고스톱으로 대한민국 1등
34,이터:던전의 포식자
35,1945
36,Fun Race 3D
37,ROBLOX
38,펭귄의 섬
39,Mr Bullet - 스파이 퍼즐
40,피츠메이커
41,좀비고등학교
42,Rope Slash
43,동물의 집
44,Magic Tiles 3
45,Granny Legend
46,검협: 그리고 전설
47,Zooba - 동물원 배틀 아레나
48,Paper.io 2
49,Minecraft 체험판
50,왕국건설 스토리
51,Run Race 3D
52,꿈의 마을 (Township)
53,Jelly Shift
54,Color Fill 3D
55,Stop them ALL !
56,Crowd City
57,클래시 로얄
58,피망 섯다
59,익스트림풋볼:3대3 멀티 축구
60,리치리치
61,Rider
62,Idle Stickman
63,Marbleous!
64,토킹톰 골드런
65,Rummikub
66,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
67,Partymasters - Fun Idle Game
68,Hole.io
69,타워 브레이커(Tower Breaker) - 신의 탑 부수기
70,마피아42
71,신비아파트 고스트헌터
72,Empires & Puzzles: RPG Quest
73,"Happy Color – 컬러링북, 숫자 색칠 게임"
74,Bottle Flip 3D
75,Line Color 3D
76,Pokémon GO
77,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
78,슈퍼펭귄 (Super Penguins)
79,Granny: Chapter Two
80,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
81,숨바꼭질 온라인 - 실시간 숨바꼭질
82,토킹톰 히어로 대시
83,Kick the Buddy: Forever
84,지오메트리 대시 라이트 (Geometry Dash L)
85,신강호
86,쿵야 캐치마인드
87,쿠키런: 오븐브레이크
88,Dream Piano - Music Game
89,Supreme Duelist Stickman
90,"Numpuz: Classic Number Games, Num Riddle Puzzle"
91,도미노 스매시
92,Kick the Buddy
93,Happy Glass
94,Merge Magic!
95,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
96,스페이스 슈터: 외계인 슈팅게임
97,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
98,에오스 레드
99,"좋은 피자, 위대한 피자"
100,한게임 신맞고 : 대한민국 원조 고스톱
