rank,name
1,Brain Out – 가장 어색한 게임
2,달빛조각사
3,콜 오브 듀티: 모바일
4,세인트 세이야 : 각성
5,봉인의서
6,Icing On The Cake
7,꽃피는 달빛
8,라이즈 오브 킹덤즈
9,Wrecking Ball
10,노블레스 : 제로 with NAVER WEBTOON
11,브롤스타즈
12,무한의 계단
13,배틀그라운드
14,도시어부M
15,기적의 검
16,궁수의 전설
17,꿈의 집 (Homescapes)
18,꿈의 정원 (Gardenscapes)
19,펭귄의 섬
20,워드퍼즐 - 단어 게임
21,Perfect Slices
22,Cool Goal!
23,Zooba - 동물원 배틀 아레나
24,오늘도 우라라 원시 헌팅 라이프
25,I Peel Good
26,1945
27,Granny Legend
28,Zipline Valley - 물리학 퍼즐 게임
29,Sand Balls
30,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
31,Magic Tiles 3
32,무한의 농장
33,디지몬 리얼라이즈 -Digimon ReArise-
34,Dinosaur Rampage
35,ROBLOX
36,클래시 로얄
37,바이러스 워 - 우주 슈팅 게임
38,Square Bird
39,올스타 스매시
40,Mario Kart Tour
41,3차원 채우기 (Fill in 3D)
42,신비아파트 고스트헌터
43,Bouncemasters!
44,신강호
45,피망 뉴맞고 : 고스톱으로 대한민국 1등
46,이터:던전의 포식자
47,Minecraft 체험판
48,Rider
49,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
50,좀비고등학교
51,Fun Race 3D
52,Rolling Domino
53,꿈의 마을 (Township)
54,aquapark.io
55,Dancing Road: Color Ball Run!
56,Empires & Puzzles: RPG Quest
57,피츠메이커
58,리치리치
59,숨바꼭질 온라인 - 실시간 숨바꼭질
60,LoL 프렌즈
61,스도쿠 - 무료 클래식 스도쿠 퍼즐
62,지오메트리 대시 라이트 (Geometry Dash L)
63,토킹톰 골드런
64,신의 연대기-신규서버오픈
65,Color Fill 3D
66,피망 섯다
67,Mr Bullet - 스파이 퍼즐
68,마피아42
69,Rummikub
70,Star Trek™ 플릿 커맨드
71,Color Saw 3D
72,소울아크: 리부트
73,슈퍼펭귄 (Super Penguins)
74,쿠키런: 오븐브레이크
75,Crowd City
76,토킹톰 히어로 대시
77,세레스M
78,도끼.io
79,Robot Clash
80,SweetBeat
81,Run Race 3D
82,한게임 포커
83,전투 마스터
84,The Real Juggle
85,블록 퍼즐
86,OX 퀴즈 서바이벌 100
87,펌프잇업 M
88,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
89,Nonogram.com - 픽처 크로스 퍼즐 게임
90,타워 브레이커(Tower Breaker) - 신의 탑 부수기
91,"좋은 피자, 위대한 피자"
92,회사 탈출3　-탈출 게임
93,롤링 스카이
94,Happy Glass
95,Pokémon GO
96,Two Dots
97,붕괴3rd
98,쌍삼국지
99,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
100,Shadow of Death: 다크니스 RPG - 지금 싸움을
