rank,name
1,리니지2M(19)
2,리니지2M(12)
3,고수 with NAVER WEBTOON
4,게임빌프로야구 슈퍼스타즈
5,Brain Out – 가장 어색한 게임
6,Rusty Blower 3D
7,진화소녀
8,엑소스 히어로즈
9,Park of Monster
10,Pocket World 3D
11,Ink Inc. - Tattoo Tycoon
12,워드퍼즐 - 단어 게임
13,Sky Roller
14,무한의 계단
15,킹 오브 타워
16,워너비챌린지
17,마기아 : 카르마 사가
18,Puzzrama (퍼즈라마)
19,밥 먹고 갈래요?
20,기적의 검
21,무한의 농장
22,브롤스타즈
23,Tales Rush!
24,Clash of Blocks
25,애프터라이프
26,꽃피는 달빛
27,콜 오브 듀티: 모바일
28,꿈의 정원 (Gardenscapes)
29,Cannon Shot!
30,꿈의 집 (Homescapes)
31,Fun Race 3D
32,V4
33,왕비의 맛
34,Sandwich!
35,배틀그라운드
36,클래시 로얄
37,펭귄의 섬
38,Crazy Shopping
39,궁수의 전설
40,계급장 키우기
41,라이즈 오브 킹덤즈
42,Supreme Duelist Stickman
43,Stencil Art - Spray Masters
44,Rummikub
45,Mr Bullet - 스파이 퍼즐
46,킹 오브 파이터 올스타
47,염왕이 뿔났다
48,1945
49,바이러스 워 - 우주 슈팅 게임
50,꿈의 마을 (Township)
51,Run Race 3D
52,Q*bert
53,ROBLOX
54,질풍닌자전
55,Icing On The Cake
56,Piano Tiles 2™
57,리니지2 레볼루션
58,Gang Clash
59,Cool Goal!
60,로드 크래쉬
61,Sand Balls
62,Dancing Line
63,Minecraft 체험판
64,Rescue Cut - Rope Puzzle
65,Pokémon GO
66,"좋은 피자, 위대한 피자"
67,피망 뉴맞고 : 고스톱으로 대한민국 1등
68,홈 디자인 꾸미기
69,Color Saw 3D
70,지오메트리 대시 라이트 (Geometry Dash L)
71,Paper.io 2
72,쿠키런: 오븐브레이크
73,Rider
74,eFootball PES 2020
75,Perfect Slices
76,Idle Construction 3D
77,마피아42
78,부탁해요 매니저님
79,Pressure Washer
80,쿠키런 for Kakao
81,Tank Stars
82,Square Bird
83,스도쿠 - 무료 클래식 스도쿠 퍼즐
84,보틀 점프 3D
85,오버독스
86,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
87,Dancing Road: Color Ball Run!
88,Empires & Puzzles: RPG Quest
89,리니지M
90,오목의 달인
91,Hero Wars
92,Crowd City
93,Zipline Valley - 물리학 퍼즐 게임
94,클래식 어드벤처
95,토킹톰 히어로 대시
96,Puzzle Fuzzle
97,고양이 식탁
98,Nonogram.com - 픽처 크로스 퍼즐 게임
99,FIFA ONLINE 4 M by EA SPORTS™
100,토킹톰 골드런
