rank,name
1,Brain Out – 가장 어색한 게임
2,V4
3,꽃피는 달빛
4,탄탄러시
5,Ink Inc. - Tattoo Tycoon
6,킹 오브 타워
7,워드퍼즐 - 단어 게임
8,Crazy Shopping
9,무한의 계단
10,콜 오브 듀티: 모바일
11,Rescue Cut - Rope Puzzle
12,라이즈 오브 킹덤즈
13,질풍닌자전
14,기적의 검
15,Zipline Valley - 물리학 퍼즐 게임
16,Sky Roller
17,Icing On The Cake
18,Granny Legend
19,무한의 농장
20,브롤스타즈
21,신강호
22,펭귄의 섬
23,꿈의 집 (Homescapes)
24,로드 크래쉬
25,판타지타운
26,꿈의 정원 (Gardenscapes)
27,배틀그라운드
28,Cannon Shot!
29,꿈의 마을 (Township)
30,궁수의 전설
31,Sand Balls
32,Fun Race 3D
33,ROBLOX
34,바이러스 워 - 우주 슈팅 게임
35,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
36,Drop & Smash
37,Robot Clash
38,Cool Goal!
39,Pokémon GO
40,로얄 다이스(Royal Dice) : 랜덤 디펜스
41,클래시 로얄
42,Run Race 3D
43,Perfect Slices
44,마기아 : 카르마 사가
45,쿠키런: 오븐브레이크
46,달빛조각사
47,Mr Bullet - 스파이 퍼즐
48,Supreme Duelist Stickman
49,피망 뉴맞고 : 고스톱으로 대한민국 1등
50,Gang Clash
51,Vlinder Life：Dressup Avatar & Fashion Doll
52,삼국지 오리진
53,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
54,지오메트리 대시 라이트 (Geometry Dash L)
55,Rider
56,로그의 전설
57,Block Puzzle Rune
58,도끼.io
59,스도쿠 - 무료 클래식 스도쿠 퍼즐
60,Minecraft 체험판
61,솔리테르 트라이픽스: 팜 어드벤처
62,Puzzle Fuzzle
63,히어로즈 스트라이크
64,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
65,쿠키런 for Kakao
66,매직 직소 퍼즐
67,Magic Tiles 3
68,보틀 점프 3D
69,Piano Tiles 2™
70,블록 퍼즐
71,톰 오브 더 마스크: 컬러
72,Dancing Road: Color Ball Run!
73,이터:던전의 포식자
74,1945
75,Empires & Puzzles: RPG Quest
76,Paper.io 2
77,Connect the Pops!
78,Draw Around
79,미니카키우기
80,Rummikub
81,Color Saw 3D
82,DX : 신 세기의 전쟁
83,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
84,Clash of Blocks
85,FIFA ONLINE 4 M by EA SPORTS™
86,한게임 신맞고 : 대한민국 원조 고스톱
87,Tasty Planet Forever
88,토킹톰 골드런
89,리치리치
90,aquapark.io
91,Disney 겨울왕국 어드벤처: 새로운 매치-3 게임
92,Nonogram.com - 픽처 크로스 퍼즐 게임
93,좀비고등학교
94,"좋은 피자, 위대한 피자"
95,Square Bird
96,Tiles Hop: EDM Rush!
97,토킹톰 히어로 대시
98,피망 섯다
99,"Numpuz: Classic Number Games, Num Riddle Puzzle"
100,오목의 달인
