rank,date,name
1,2019_11_20,Brain Out – 가장 어색한 게임
2,2019_11_20,Ink Inc. - Tattoo Tycoon
3,2019_11_20,부탁해요 매니저님
4,2019_11_20,탄탄러시
5,2019_11_20,킹 오브 타워
6,2019_11_20,꽃피는 달빛
7,2019_11_20,무한의 계단
8,2019_11_20,워드퍼즐 - 단어 게임
9,2019_11_20,V4
10,2019_11_20,브롤스타즈
11,2019_11_20,두근두근 레스토랑: 헬로키티 콜라보레이션
12,2019_11_20,Crazy Shopping
13,2019_11_20,무한의 농장
14,2019_11_20,Sky Roller
15,2019_11_20,Icing On The Cake
16,2019_11_20,꿈의 집 (Homescapes)
17,2019_11_20,Zipline Valley - 물리학 퍼즐 게임
18,2019_11_20,콜 오브 듀티: 모바일
19,2019_11_20,Pocket World 3D
20,2019_11_20,로드 크래쉬
21,2019_11_20,Cannon Shot!
22,2019_11_20,펭귄의 섬
23,2019_11_20,Rescue Cut - Rope Puzzle
24,2019_11_20,Hunter Assassin
25,2019_11_20,Run Race 3D
26,2019_11_20,Fun Race 3D
27,2019_11_20,라이즈 오브 킹덤즈
28,2019_11_20,Mr Bullet - 스파이 퍼즐
29,2019_11_20,배틀그라운드
30,2019_11_20,Granny Legend
31,2019_11_20,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
32,2019_11_20,Sand Balls
33,2019_11_20,신강호
34,2019_11_20,ROBLOX
35,2019_11_20,꿈의 정원 (Gardenscapes)
36,2019_11_20,기적의 검
37,2019_11_20,질풍닌자전
38,2019_11_20,이터:던전의 포식자
39,2019_11_20,Supreme Duelist Stickman
40,2019_11_20,Dancing Road: Color Ball Run!
41,2019_11_20,궁수의 전설
42,2019_11_20,바이러스 워 - 우주 슈팅 게임
43,2019_11_20,Paper.io 2
44,2019_11_20,Piano Tiles 2™
45,2019_11_20,Block Puzzle Rune
46,2019_11_20,Perfect Slices
47,2019_11_20,클래시 로얄
48,2019_11_20,삼국지 오리진
49,2019_11_20,보틀 점프 3D
50,2019_11_20,Clash of Blocks
51,2019_11_20,aquapark.io
52,2019_11_20,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
53,2019_11_20,Magic Tiles 3
54,2019_11_20,"좋은 피자, 위대한 피자"
55,2019_11_20,Rider
56,2019_11_20,Vlinder Life：Dressup Avatar & Fashion Doll
57,2019_11_20,도끼.io
58,2019_11_20,Color Saw 3D
59,2019_11_20,꿈의 마을 (Township)
60,2019_11_20,피망 뉴맞고 : 고스톱으로 대한민국 1등
61,2019_11_20,지오메트리 대시 라이트 (Geometry Dash L)
62,2019_11_20,쿠키런: 오븐브레이크
63,2019_11_20,Cool Goal!
64,2019_11_20,Drop & Smash
65,2019_11_20,Minecraft 체험판
66,2019_11_20,1945
67,2019_11_20,Rummikub
68,2019_11_20,Pokémon GO
69,2019_11_20,Tiles Hop: EDM Rush!
70,2019_11_20,Gym Flip
71,2019_11_20,Gang Clash
72,2019_11_20,토킹톰 골드런
73,2019_11_20,Draw it
74,2019_11_20,숨바꼭질 온라인 - 실시간 숨바꼭질
75,2019_11_20,Race.io
76,2019_11_20,Puzzle Fuzzle
77,2019_11_20,Dream Piano - Music Game
78,2019_11_20,Crowd City
79,2019_11_20,롤링 스카이
80,2019_11_20,쿠키런 for Kakao
81,2019_11_20,Square Bird
82,2019_11_20,달빛조각사
83,2019_11_20,토킹톰 히어로 대시
84,2019_11_20,Tasty Planet Forever
85,2019_11_20,Happy Glass
86,2019_11_20,스도쿠 - 무료 클래식 스도쿠 퍼즐
87,2019_11_20,Snowball.io
88,2019_11_20,로얄 다이스(Royal Dice) : 랜덤 디펜스
89,2019_11_20,매직 직소 퍼즐
90,2019_11_20,히어로즈 스트라이크
91,2019_11_20,신비아파트 고스트헌터
92,2019_11_20,마피아42
93,2019_11_20,"Numpuz: Classic Number Games, Num Riddle Puzzle"
94,2019_11_20,Hole.io
95,2019_11_20,마이토킹톰 2
96,2019_11_20,Empires & Puzzles: RPG Quest
97,2019_11_20,스택 볼 - 플랫폼을 다 뚫어버리세요 
98,2019_11_20,Draw Around
99,2019_11_20,블록 퍼즐
100,2019_11_20,Stencil Art - Spray Masters
