rank,date,name
1,2019_11_18,Brain Out – 가장 어색한 게임
2,2019_11_18,Ink Inc. - Tattoo Tycoon
3,2019_11_18,꽃피는 달빛
4,2019_11_18,탄탄러시
5,2019_11_18,무한의 계단
6,2019_11_18,킹 오브 타워
7,2019_11_18,V4
8,2019_11_18,Crazy Shopping
9,2019_11_18,브롤스타즈
10,2019_11_18,워드퍼즐 - 단어 게임
11,2019_11_18,콜 오브 듀티: 모바일
12,2019_11_18,로드 크래쉬
13,2019_11_18,무한의 농장
14,2019_11_18,Icing On The Cake
15,2019_11_18,Sky Roller
16,2019_11_18,Rescue Cut - Rope Puzzle
17,2019_11_18,Zipline Valley - 물리학 퍼즐 게임
18,2019_11_18,꿈의 집 (Homescapes)
19,2019_11_18,라이즈 오브 킹덤즈
20,2019_11_18,기적의 검
21,2019_11_18,Run Race 3D
22,2019_11_18,질풍닌자전
23,2019_11_18,ROBLOX
24,2019_11_18,Fun Race 3D
25,2019_11_18,펭귄의 섬
26,2019_11_18,Granny Legend
27,2019_11_18,배틀그라운드
28,2019_11_18,Supreme Duelist Stickman
29,2019_11_18,신강호
30,2019_11_18,Sand Balls
31,2019_11_18,Minecraft 체험판
32,2019_11_18,꿈의 정원 (Gardenscapes)
33,2019_11_18,Perfect Slices
34,2019_11_18,Cannon Shot!
35,2019_11_18,Vlinder Life：Dressup Avatar & Fashion Doll
36,2019_11_18,Dancing Road: Color Ball Run!
37,2019_11_18,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
38,2019_11_18,클래시 로얄
39,2019_11_18,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
40,2019_11_18,부탁해요 매니저님
41,2019_11_18,Mr Bullet - 스파이 퍼즐
42,2019_11_18,보틀 점프 3D
43,2019_11_18,도끼.io
44,2019_11_18,꿈의 마을 (Township)
45,2019_11_18,Paper.io 2
46,2019_11_18,Rider
47,2019_11_18,궁수의 전설
48,2019_11_18,aquapark.io
49,2019_11_18,Drop & Smash
50,2019_11_18,바이러스 워 - 우주 슈팅 게임
51,2019_11_18,Puzzle Fuzzle
52,2019_11_18,Piano Tiles 2™
53,2019_11_18,지오메트리 대시 라이트 (Geometry Dash L)
54,2019_11_18,Hunter Assassin
55,2019_11_18,Magic Tiles 3
56,2019_11_18,Pokémon GO
57,2019_11_18,토킹톰 골드런
58,2019_11_18,Cool Goal!
59,2019_11_18,Tasty Planet Forever
60,2019_11_18,쿠키런: 오븐브레이크
61,2019_11_18,Color Saw 3D
62,2019_11_18,Block Puzzle Rune
63,2019_11_18,"좋은 피자, 위대한 피자"
64,2019_11_18,판타지타운
65,2019_11_18,이터:던전의 포식자
66,2019_11_18,Gang Clash
67,2019_11_18,Tiles Hop: EDM Rush!
68,2019_11_18,좀비고등학교
69,2019_11_18,Race.io
70,2019_11_18,토킹톰 히어로 대시
71,2019_11_18,히어로즈 스트라이크
72,2019_11_18,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
73,2019_11_18,롤링 스카이
74,2019_11_18,Square Bird
75,2019_11_18,신비아파트 고스트헌터
76,2019_11_18,Hole.io
77,2019_11_18,동물극장 - 귀여운 동물들과 영화보며 힐링
78,2019_11_18,숨바꼭질 온라인 - 실시간 숨바꼭질
79,2019_11_18,Draw it
80,2019_11_18,삼국지 오리진
81,2019_11_18,쿠키런 for Kakao
82,2019_11_18,Crowd City
83,2019_11_18,Clash of Blocks
84,2019_11_18,달빛조각사
85,2019_11_18,Rummikub
86,2019_11_18,Snowball.io
87,2019_11_18,마이토킹톰 2
88,2019_11_18,로그의 전설
89,2019_11_18,Pocket World 3D
90,2019_11_18,Draw Around
91,2019_11_18,미니카키우기
92,2019_11_18,톰 오브 더 마스크: 컬러
93,2019_11_18,꿈의 동물원 (Wildscapes)
94,2019_11_18,Happy Glass
95,2019_11_18,Robot Clash
96,2019_11_18,슈퍼펭귄 (Super Penguins)
97,2019_11_18,Collect Cubes
98,2019_11_18,스택 볼 - 플랫폼을 다 뚫어버리세요 
99,2019_11_18,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
100,2019_11_18,피망 뉴맞고 : 고스톱으로 대한민국 1등
