rank,date,name
1,2019_10_01,Mario Kart Tour
2,2019_10_01,Brain Out – 가장 어색한 게임
3,2019_10_01,라이즈 오브 킹덤즈
4,2019_10_01,신의 연대기-신규서버오픈
5,2019_10_01,올스타 스매시
6,2019_10_01,신강호
7,2019_10_01,Color Saw 3D
8,2019_10_01,Dinosaur Rampage
9,2019_10_01,I Peel Good
10,2019_10_01,Cool Goal!
11,2019_10_01,Idle Stickman
12,2019_10_01,리치리치
13,2019_10_01,브롤스타즈
14,2019_10_01,워드퍼즐 - 단어 게임
15,2019_10_01,Puzzle Fuzzle
16,2019_10_01,오늘도 우라라 원시 헌팅 라이프
17,2019_10_01,Square Bird
18,2019_10_01,바이러스 워 - 우주 슈팅 게임
19,2019_10_01,쌍삼국지
20,2019_10_01,이터:던전의 포식자
21,2019_10_01,Stop them ALL !
22,2019_10_01,무한의 계단
23,2019_10_01,동물의 집
24,2019_10_01,궁수의 전설
25,2019_10_01,배틀그라운드
26,2019_10_01,꿈의 집 (Homescapes)
27,2019_10_01,꿈의 정원 (Gardenscapes)
28,2019_10_01,Perfect Slices
29,2019_10_01,Marbleous!
30,2019_10_01,Sand Balls
31,2019_10_01,기적의 검
32,2019_10_01,Mr Bullet - 스파이 퍼즐
33,2019_10_01,ROBLOX
34,2019_10_01,Zipline Valley - 물리학 퍼즐 게임
35,2019_10_01,aquapark.io
36,2019_10_01,Color Fill 3D
37,2019_10_01,Minecraft 체험판
38,2019_10_01,피망 뉴맞고 : 고스톱으로 대한민국 1등
39,2019_10_01,Fun Race 3D
40,2019_10_01,꿈의 마을 (Township)
41,2019_10_01,신비아파트 고스트헌터
42,2019_10_01,Polysphere
43,2019_10_01,좀비고등학교
44,2019_10_01,쿵야 캐치마인드
45,2019_10_01,도끼.io
46,2019_10_01,Magic Tiles 3
47,2019_10_01,Rider
48,2019_10_01,Kick the Buddy
49,2019_10_01,토킹톰 골드런
50,2019_10_01,Run Race 3D
51,2019_10_01,Crowd City
52,2019_10_01,토킹톰 히어로 대시
53,2019_10_01,피망 섯다
54,2019_10_01,클래시 로얄
55,2019_10_01,쿠키런: 오븐브레이크
56,2019_10_01,Knives Crash
57,2019_10_01,Rummikub
58,2019_10_01,Granny Legend
59,2019_10_01,1945
60,2019_10_01,지오메트리 대시 라이트 (Geometry Dash L)
61,2019_10_01,Hungry Shark Evolution
62,2019_10_01,슈퍼펭귄 (Super Penguins)
63,2019_10_01,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
64,2019_10_01,Paper.io 2
65,2019_10_01,Supreme Duelist Stickman
66,2019_10_01,마피아42
67,2019_10_01,Bottle Flip 3D
68,2019_10_01,The Real Juggle
69,2019_10_01,왕비의 맛
70,2019_10_01,Jelly Shift
71,2019_10_01,Empires & Puzzles: RPG Quest
72,2019_10_01,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
73,2019_10_01,에오스 레드
74,2019_10_01,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
75,2019_10_01,Wrecking Ball
76,2019_10_01,Line Color 3D
77,2019_10_01,보스레이브
78,2019_10_01,아기 팬더: 공주 메이크업
79,2019_10_01,"좋은 피자, 위대한 피자"
80,2019_10_01,Soul Knight
81,2019_10_01,바운스볼
82,2019_10_01,Hole.io
83,2019_10_01,maybe-메이비:내가 만드는 이야기
84,2019_10_01,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
85,2019_10_01,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
86,2019_10_01,프렌즈레이싱
87,2019_10_01,한게임 신맞고 : 대한민국 원조 고스톱
88,2019_10_01,아웃로 - 실시간 슈팅
89,2019_10_01,Pokémon GO
90,2019_10_01,드랍더좀비
91,2019_10_01,마이토킹톰 2
92,2019_10_01,의지의 히어로
93,2019_10_01,Piano Tiles 2™
94,2019_10_01,"Happy Color – 컬러링북, 숫자 색칠 게임"
95,2019_10_01,Merge Magic!
96,2019_10_01,피츠메이커
97,2019_10_01,FIFA ONLINE 4 M by EA SPORTS™
98,2019_10_01,로드 모바일: 제국의 전쟁 - MMORPG
99,2019_10_01,"나의최애캐 (언니돌, #unniedoll)"
100,2019_10_01,Snowball.io
