rank,date,name
1,2019_10_14,Brain Out – 가장 어색한 게임
2,2019_10_14,달빛조각사
3,2019_10_14,콜 오브 듀티: 모바일
4,2019_10_14,세레스M
5,2019_10_14,라이즈 오브 킹덤즈
6,2019_10_14,Dinosaur Rampage
7,2019_10_14,브롤스타즈
8,2019_10_14,신의 연대기-신규서버오픈
9,2019_10_14,소울아크: 리부트
10,2019_10_14,도시어부M
11,2019_10_14,Wrecking Ball
12,2019_10_14,Bouncemasters!
13,2019_10_14,무한의 계단
14,2019_10_14,올스타 스매시
15,2019_10_14,Square Bird
16,2019_10_14,Perfect Slices
17,2019_10_14,디지몬 리얼라이즈 -Digimon ReArise-
18,2019_10_14,Mario Kart Tour
19,2019_10_14,워드퍼즐 - 단어 게임
20,2019_10_14,펭귄의 섬
21,2019_10_14,Puzzle Fuzzle
22,2019_10_14,Cool Goal!
23,2019_10_14,I Peel Good
24,2019_10_14,Icing On The Cake
25,2019_10_14,꿈의 집 (Homescapes)
26,2019_10_14,3차원 채우기 (Fill in 3D)
27,2019_10_14,궁수의 전설
28,2019_10_14,기적의 검
29,2019_10_14,The Real Juggle
30,2019_10_14,Magic Tiles 3
31,2019_10_14,배틀그라운드
32,2019_10_14,장기2.0
33,2019_10_14,신비아파트 고스트헌터
34,2019_10_14,오늘도 우라라 원시 헌팅 라이프
35,2019_10_14,꿈의 정원 (Gardenscapes)
36,2019_10_14,ROBLOX
37,2019_10_14,1945
38,2019_10_14,이터:던전의 포식자
39,2019_10_14,Sand Balls
40,2019_10_14,Color Saw 3D
41,2019_10_14,Mr Bullet - 스파이 퍼즐
42,2019_10_14,Zipline Valley - 물리학 퍼즐 게임
43,2019_10_14,숨바꼭질 온라인 - 실시간 숨바꼭질
44,2019_10_14,바이러스 워 - 우주 슈팅 게임
45,2019_10_14,좀비고등학교
46,2019_10_14,aquapark.io
47,2019_10_14,Paper.io 2
48,2019_10_14,Granny Legend
49,2019_10_14,피츠메이커
50,2019_10_14,Fun Race 3D
51,2019_10_14,장기의 달인
52,2019_10_14,Zooba - 동물원 배틀 아레나
53,2019_10_14,Minecraft 체험판
54,2019_10_14,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
55,2019_10_14,클래시 로얄
56,2019_10_14,Rider
57,2019_10_14,토킹톰 골드런
58,2019_10_14,피망 뉴맞고 : 고스톱으로 대한민국 1등
59,2019_10_14,꿈의 마을 (Township)
60,2019_10_14,Rope Slash
61,2019_10_14,Crowd City
62,2019_10_14,Run Race 3D
63,2019_10_14,Robot Clash
64,2019_10_14,Color Fill 3D
65,2019_10_14,Happy Glass
66,2019_10_14,지오메트리 대시 라이트 (Geometry Dash L)
67,2019_10_14,왕국건설 스토리
68,2019_10_14,리치리치
69,2019_10_14,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
70,2019_10_14,세븐나이츠
71,2019_10_14,마피아42
72,2019_10_14,Hole.io
73,2019_10_14,Rummikub
74,2019_10_14,"Numpuz: Classic Number Games, Num Riddle Puzzle"
75,2019_10_14,토킹톰 히어로 대시
76,2019_10_14,슈퍼펭귄 (Super Penguins)
77,2019_10_14,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
78,2019_10_14,Line Color 3D
79,2019_10_14,Empires & Puzzles: RPG Quest
80,2019_10_14,"Happy Color – 컬러링북, 숫자 색칠 게임"
81,2019_10_14,무한의 농장
82,2019_10_14,Bottle Flip 3D
83,2019_10_14,쿠키런: 오븐브레이크
84,2019_10_14,Partymasters - Fun Idle Game
85,2019_10_14,타워 브레이커(Tower Breaker) - 신의 탑 부수기
86,2019_10_14,Dancing Road: Color Ball Run!
87,2019_10_14,롤링 스카이
88,2019_10_14,보스레이브
89,2019_10_14,도끼.io
90,2019_10_14,동물의 집
91,2019_10_14,Granny: Chapter Two
92,2019_10_14,Nonogram.com - 픽처 크로스 퍼즐 게임
93,2019_10_14,Jelly Shift
94,2019_10_14,Draw it
95,2019_10_14,"좋은 피자, 위대한 피자"
96,2019_10_14,Supreme Duelist Stickman
97,2019_10_14,OX 퀴즈 서바이벌 100
98,2019_10_14,Marbleous!
99,2019_10_14,회사 탈출3　-탈출 게임
100,2019_10_14,피망 섯다
