,rank,name
0,1,라이즈 오브 킹덤즈
1,2,신강호
2,3,Dinosaur Rampage
3,4,리치리치
4,5,쌍삼국지
5,6,오늘도 우라라 원시 헌팅 라이프
6,7,Cool Goal!
7,8,Brain Out – 가장 어색한 게임
8,9,워드퍼즐 - 단어 게임
9,10,올스타 스매시
10,11,브롤스타즈
11,12,미친소녀
12,13,Puzzle Fuzzle
13,14,I Peel Good
14,15,동물의 집
15,16,기적의 검
16,17,Sand Balls
17,18,배틀그라운드
18,19,꿈의 집 (Homescapes)
19,20,Square Bird
20,21,Perfect Slices
21,22,궁수의 전설
22,23,피망 뉴맞고 : 고스톱으로 대한민국 1등
23,24,바이러스 워 - 우주 슈팅 게임
24,25,쿵야 캐치마인드
25,26,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
26,27,Mr Bullet - 스파이 퍼즐
27,28,무한의 계단
28,29,Fun Race 3D
29,30,꿈의 정원 (Gardenscapes)
30,31,으라차차 돌격 라그나로크
31,32,피망 섯다
32,33,Minecraft 체험판
33,34,보스레이브
34,35,ROBLOX
35,36,aquapark.io
36,37,Color Fill 3D
37,38,Rummikub
38,39,Zipline Valley - 물리학 퍼즐 게임
39,40,도끼.io
40,41,토킹톰 골드런
41,42,1945
42,43,꿈의 마을 (Township)
43,44,Crowd City
44,45,에오스 레드
45,46,Empires & Puzzles: RPG Quest
46,47,Magic Tiles 3
47,48,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
48,49,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
49,50,Granny Legend
50,51,이터:던전의 포식자
51,52,신비아파트 고스트헌터
52,53,좀비고등학교
53,54,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
54,55,Bottle Flip 3D
55,56,낚시 클래시: 스포츠 낚시 게임 (Fishing Clash)
56,57,토킹톰 히어로 대시
57,58,Granny: Chapter Two
58,59,Line Color 3D
59,60,클래시 로얄
60,61,로드 모바일: 제국의 전쟁 - MMORPG
61,62,Run Race 3D
62,63,슈퍼펭귄 (Super Penguins)
63,64,한게임 신맞고 : 대한민국 원조 고스톱
64,65,마피아42
65,66,프렌즈레이싱
66,67,Rider
67,68,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
68,69,"좋은 피자, 위대한 피자"
69,70,라플라스M
70,71,Jelly Shift
71,72,지오메트리 대시 라이트 (Geometry Dash L)
72,73,삼국지 오리진
73,74,Tank Stars
74,75,Tiles Hop: EDM Rush!
75,76,한게임 포커
76,77,쿠키런: 오븐브레이크
77,78,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
78,79,아기 팬더: 공주 메이크업
79,80,Polysphere
80,81,Snowball.io
81,82,Wrecking Ball
82,83,Battle Disc
83,84,"Happy Color – 컬러링북, 숫자 색칠 게임"
84,85,롤링 스카이
85,86,Pokémon GO
86,87,비천무협
87,88,모두의마블
88,89,라스트 쉘터 (Last Shelter: Survival)
89,90,피아노 실제 - 음악 매직 게임 실행하며 피아노 키보드 로 노래를 배워보세요
90,91,마이토킹톰 2
91,92,Popcorn Burst
92,93,우주 전쟁: 외계인들의 공격
93,94,용사식당
94,95,Merge Magic!
95,96,스페이스 슈터: 외계인 슈팅게임
96,97,Piano Tiles 2™
97,98,가온:신규서버오픈
98,99,Paper.io 2
99,100,FIFA ONLINE 4 M by EA SPORTS™
