,rank,name
0,1,달빛조각사
1,2,Brain Out – 가장 어색한 게임
2,3,콜 오브 듀티: 모바일
3,4,세레스M
4,5,라이즈 오브 킹덤즈
5,6,도시어부M
6,7,신의 연대기-신규서버오픈
7,8,Dinosaur Rampage
8,9,브롤스타즈
9,10,디지몬 리얼라이즈 -Digimon ReArise-
10,11,올스타 스매시
11,12,워드퍼즐 - 단어 게임
12,13,Mario Kart Tour
13,14,소울아크: 리부트
14,15,장기2.0
15,16,Bouncemasters!
16,17,무한의 계단
17,18,Square Bird
18,19,Perfect Slices
19,20,3차원 채우기 (Fill in 3D)
20,21,펭귄의 섬
21,22,Puzzle Fuzzle
22,23,I Peel Good
23,24,Cool Goal!
24,25,The Real Juggle
25,26,꿈의 집 (Homescapes)
26,27,숨바꼭질 온라인 - 실시간 숨바꼭질
27,28,이터:던전의 포식자
28,29,기적의 검
29,30,오늘도 우라라 원시 헌팅 라이프
30,31,장기의 달인
31,32,배틀그라운드
32,33,1945
33,34,꿈의 정원 (Gardenscapes)
34,35,Color Saw 3D
35,36,궁수의 전설
36,37,Sand Balls
37,38,Wrecking Ball
38,39,Granny Legend
39,40,Magic Tiles 3
40,41,Zipline Valley - 물리학 퍼즐 게임
41,42,바이러스 워 - 우주 슈팅 게임
42,43,ROBLOX
43,44,신비아파트 고스트헌터
44,45,Mr Bullet - 스파이 퍼즐
45,46,Fun Race 3D
46,47,Paper.io 2
47,48,좀비고등학교
48,49,aquapark.io
49,50,Zooba - 동물원 배틀 아레나
50,51,피망 뉴맞고 : 고스톱으로 대한민국 1등
51,52,피츠메이커
52,53,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
53,54,클래시 로얄
54,55,꿈의 마을 (Township)
55,56,Rider
56,57,Robot Clash
57,58,Minecraft 체험판
58,59,Empires & Puzzles: RPG Quest
59,60,Rope Slash
60,61,토킹톰 골드런
61,62,Color Fill 3D
62,63,Run Race 3D
63,64,Rummikub
64,65,리치리치
65,66,왕국건설 스토리
66,67,Crowd City
67,68,스케치퀴즈
68,69,지오메트리 대시 라이트 (Geometry Dash L)
69,70,마피아42
70,71,Happy Glass
71,72,Partymasters - Fun Idle Game
72,73,Shadow of Death: 다크니스 RPG - 지금 싸움을
73,74,피망 섯다
74,75,Icing On The Cake
75,76,"Numpuz: Classic Number Games, Num Riddle Puzzle"
76,77,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
77,78,토킹톰 히어로 대시
78,79,타워 브레이커(Tower Breaker) - 신의 탑 부수기
79,80,Supreme Duelist Stickman
80,81,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
81,82,Two Dots
82,83,슈퍼펭귄 (Super Penguins)
83,84,Line Color 3D
84,85,"Happy Color – 컬러링북, 숫자 색칠 게임"
85,86,쿵야 캐치마인드
86,87,보스레이브
87,88,쿠키런: 오븐브레이크
88,89,Jelly Shift
89,90,도끼.io
90,91,동물의 집
91,92,롤링 스카이
92,93,Hole.io
93,94,Granny: Chapter Two
94,95,Bottle Flip 3D
95,96,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
96,97,FIFA ONLINE 4 M by EA SPORTS™
97,98,Pokémon GO
98,99,회사 탈출3　-탈출 게임
99,100,무한의 농장
