,rank,name
0,1,라이즈 오브 킹덤즈
1,2,신강호
2,3,Dinosaur Rampage
3,4,리치리치
4,5,Brain Out – 가장 어색한 게임
5,6,워드퍼즐 - 단어 게임
6,7,쌍삼국지
7,8,오늘도 우라라 원시 헌팅 라이프
8,9,Cool Goal!
9,10,I Peel Good
10,11,올스타 스매시
11,12,브롤스타즈
12,13,이터:던전의 포식자
13,14,Puzzle Fuzzle
14,15,기적의 검
15,16,배틀그라운드
16,17,동물의 집
17,18,메탈슬러그 인피니티 - 방치형 RPG
18,19,궁수의 전설
19,20,Sand Balls
20,21,바이러스 워 - 우주 슈팅 게임
21,22,Mario Kart Tour
22,23,피망 뉴맞고 : 고스톱으로 대한민국 1등
23,24,꿈의 집 (Homescapes)
24,25,미친소녀
25,26,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
26,27,무한의 계단
27,28,피망 섯다
28,29,Color Saw 3D
29,30,쿵야 캐치마인드
30,31,Perfect Slices
31,32,꿈의 정원 (Gardenscapes)
32,33,Mr Bullet - 스파이 퍼즐
33,34,Fun Race 3D
34,35,Square Bird
35,36,Idle Stickman
36,37,Zipline Valley - 물리학 퍼즐 게임
37,38,ROBLOX
38,39,Marbleous!
39,40,Color Fill 3D
40,41,도끼.io
41,42,보스레이브
42,43,aquapark.io
43,44,1945
44,45,꿈의 마을 (Township)
45,46,Rummikub
46,47,Granny Legend
47,48,Empires & Puzzles: RPG Quest
48,49,에오스 레드
49,50,Crowd City
50,51,Minecraft 체험판
51,52,으라차차 돌격 라그나로크
52,53,낚시 클래시: 스포츠 낚시 게임 (Fishing Clash)
53,54,오늘도 환생
54,55,Magic Tiles 3
55,56,좀비고등학교
56,57,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
57,58,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
58,59,토킹톰 골드런
59,60,클래시 로얄
60,61,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
61,62,가디언나이츠
62,63,신비아파트 고스트헌터
63,64,Rider
64,65,로드 모바일: 제국의 전쟁 - MMORPG
65,66,토킹톰 히어로 대시
66,67,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
67,68,한게임 신맞고 : 대한민국 원조 고스톱
68,69,Bottle Flip 3D
69,70,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
70,71,마피아42
71,72,지오메트리 대시 라이트 (Geometry Dash L)
72,73,슈퍼펭귄 (Super Penguins)
73,74,Merge Magic!
74,75,삼국지 오리진
75,76,라플라스M
76,77,Run Race 3D
77,78,한게임 포커
78,79,용사식당
79,80,Granny: Chapter Two
80,81,프렌즈레이싱
81,82,"좋은 피자, 위대한 피자"
82,83,우주 전쟁: 외계인들의 공격
83,84,쿠키런: 오븐브레이크
84,85,Line Color 3D
85,86,스페이스 슈터: 외계인 슈팅게임
86,87,Pokémon GO
87,88,Tiles Hop: EDM Rush!
88,89,Supreme Duelist Stickman
89,90,Jelly Shift
90,91,Polysphere
91,92,캔디크러쉬사가
92,93,"Happy Color – 컬러링북, 숫자 색칠 게임"
93,94,모두의마블
94,95,Auto Chess
95,96,Tank Stars
96,97,라스트 쉘터 (Last Shelter: Survival)
97,98,한게임 섯다
98,99,아기 팬더: 공주 메이크업
99,100,스도쿠 - 무료 클래식 스도쿠 퍼즐
