,rank,name
0,1,라이즈 오브 킹덤즈
1,2,리치리치
2,3,오늘도 우라라 원시 헌팅 라이프
3,4,Cool Goal!
4,5,원정
5,6,브롤스타즈
6,7,Perfect Slices
7,8,배틀그라운드
8,9,쿵야 캐치마인드
9,10,동물의 집
10,11,Sand Balls
11,12,aquapark.io
12,13,Mr Bullet - 스파이 퍼즐
13,14,꿈의 집 (Homescapes)
14,15,궁수의 전설
15,16,기적의 검
16,17,Fun Race 3D
17,18,Rummikub
18,19,ROBLOX
19,20,꿈의 정원 (Gardenscapes)
20,21,워드퍼즐 - 단어 게임
21,22,무한의 계단
22,23,Crowd City
23,24,피망 뉴맞고 : 고스톱으로 대한민국 1등
24,25,Color Fill 3D
25,26,Jelly Shift
26,27,신비아파트 고스트헌터
27,28,Minecraft 체험판
28,29,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
29,30,꿈의 마을 (Township)
30,31,롤링 스카이
31,32,좀비고등학교
32,33,토킹톰 골드런
33,34,토킹톰 히어로 대시
34,35,Run Race 3D
35,36,Tank Stars
36,37,모두의마블
37,38,Happy Glass
38,39,Bottle Flip 3D
39,40,Paper.io 2
40,41,벽돌깨기 퀘스트
41,42,마피아42
42,43,슈퍼펭귄 (Super Penguins)
43,44,삼국지 디펜스M
44,45,피망 섯다
45,46,"좋은 피자, 위대한 피자"
46,47,한게임 신맞고 : 대한민국 원조 고스톱
47,48,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
48,49,Piano Tiles 2™
49,50,프렌즈레이싱
50,51,Popcorn Burst
51,52,Rider
52,53,Dream Piano - Music Game
53,54,1945
54,55,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
55,56,Kick the Buddy: Forever
56,57,에오스 레드
57,58,Polysphere
58,59,아기 팬더: 공주 메이크업
59,60,클래시 로얄
60,61,라플라스M
61,62,Draw it
62,63,Magic Tiles 3
63,64,Granny Legend
64,65,다운블레이드(DownBlade)
65,66,Empires & Puzzles: RPG Quest
66,67,Granny: Chapter Two
67,68,Pokémon Masters
68,69,쿠키런: 오븐브레이크
69,70,바이러스 워 - 우주 슈팅 게임
70,71,미로 온라인 - 실시간 미로탈출
71,72,숨바꼭질 온라인 - 실시간 숨바꼭질
72,73,지오메트리 대시 라이트 (Geometry Dash L)
73,74,Snowball.io
74,75,Bouncemasters!
75,76,보스레이브
76,77,Swing Star
77,78,"Happy Color – 컬러링북, 숫자 색칠 게임"
78,79,의지의 히어로
79,80,OnPipe
80,81,냥코 대전쟁
81,82,Traffic Run!
82,83,마이토킹톰 2
83,84,Shadow of Death: 다크니스 RPG - 지금 싸움을
84,85,Helix Jump
85,86,Wrecking Ball
86,87,Pokémon GO
87,88,삼국지 오리진
88,89,도끼.io
89,90,로드 모바일: 제국의 전쟁 - MMORPG
90,91,Neon Splash
91,92,닌자세계대전
92,93,Tiles Hop: EDM Rush!
93,94,Blade Master - Mini Action RPG Game
94,95,미친소녀
95,96,Line Color 3D
96,97,Color Hole 3D
97,98,Puzzle Fuzzle
98,99,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
99,100,FIFA ONLINE 4 M by EA SPORTS™
