,rank,name
0,1,Brain Out – 가장 어색한 게임
1,2,달빛조각사
2,3,콜 오브 듀티: 모바일
3,4,세레스M
4,5,라이즈 오브 킹덤즈
5,6,Wrecking Ball
6,7,브롤스타즈
7,8,소울아크: 리부트
8,9,신의 연대기-신규서버오픈
9,10,Dinosaur Rampage
10,11,Square Bird
11,12,무한의 계단
12,13,Perfect Slices
13,14,Bouncemasters!
14,15,Icing On The Cake
15,16,디지몬 리얼라이즈 -Digimon ReArise-
16,17,워드퍼즐 - 단어 게임
17,18,도시어부M
18,19,기적의 검
19,20,궁수의 전설
20,21,펭귄의 섬
21,22,Puzzle Fuzzle
22,23,Mario Kart Tour
23,24,Cool Goal!
24,25,I Peel Good
25,26,꿈의 집 (Homescapes)
26,27,배틀그라운드
27,28,3차원 채우기 (Fill in 3D)
28,29,올스타 스매시
29,30,Magic Tiles 3
30,31,The Real Juggle
31,32,꿈의 정원 (Gardenscapes)
32,33,1945
33,34,신비아파트 고스트헌터
34,35,Sand Balls
35,36,이터:던전의 포식자
36,37,ROBLOX
37,38,오늘도 우라라 원시 헌팅 라이프
38,39,Mr Bullet - 스파이 퍼즐
39,40,Color Saw 3D
40,41,Zipline Valley - 물리학 퍼즐 게임
41,42,장기2.0
42,43,바이러스 워 - 우주 슈팅 게임
43,44,Paper.io 2
44,45,aquapark.io
45,46,Fun Race 3D
46,47,좀비고등학교
47,48,숨바꼭질 온라인 - 실시간 숨바꼭질
48,49,Granny Legend
49,50,피츠메이커
50,51,신강호
51,52,세븐나이츠
52,53,Minecraft 체험판
53,54,Zooba - 동물원 배틀 아레나
54,55,피망 뉴맞고 : 고스톱으로 대한민국 1등
55,56,꿈의 마을 (Township)
56,57,클래시 로얄
57,58,토킹톰 골드런
58,59,Rider
59,60,Kick the Buddy: Forever
60,61,장기의 달인
61,62,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
62,63,Hole.io
63,64,Crowd City
64,65,Run Race 3D
65,66,Color Fill 3D
66,67,"Numpuz: Classic Number Games, Num Riddle Puzzle"
67,68,Happy Glass
68,69,Rummikub
69,70,보스레이브
70,71,리치리치
71,72,왕국건설 스토리
72,73,지오메트리 대시 라이트 (Geometry Dash L)
73,74,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
74,75,Robot Clash
75,76,Rope Slash
76,77,Empires & Puzzles: RPG Quest
77,78,마피아42
78,79,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
79,80,Nonogram.com - 픽처 크로스 퍼즐 게임
80,81,슈퍼펭귄 (Super Penguins)
81,82,Bottle Flip 3D
82,83,"Happy Color – 컬러링북, 숫자 색칠 게임"
83,84,토킹톰 히어로 대시
84,85,무한의 농장
85,86,쿠키런: 오븐브레이크
86,87,Line Color 3D
87,88,Dancing Road: Color Ball Run!
88,89,Draw it
89,90,동물의 집
90,91,피망 섯다
91,92,Marbleous!
92,93,롤링 스카이
93,94,Jelly Shift
94,95,Granny: Chapter Two
95,96,Kick the Buddy
96,97,"좋은 피자, 위대한 피자"
97,98,Two Dots
98,99,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
99,100,OX 퀴즈 서바이벌 100
