,rank,name
0,1,Brain Out – 가장 어색한 게임
1,2,달빛조각사
2,3,콜 오브 듀티: 모바일
3,4,봉인의서
4,5,라이즈 오브 킹덤즈
5,6,Wrecking Ball
6,7,세인트 세이야 : 각성
7,8,노블레스 : 제로 with NAVER WEBTOON
8,9,Icing On The Cake
9,10,도시어부M
10,11,기적의 검
11,12,브롤스타즈
12,13,세레스M
13,14,펭귄의 섬
14,15,워드퍼즐 - 단어 게임
15,16,꽃피는 달빛
16,17,소울아크: 리부트
17,18,궁수의 전설
18,19,무한의 계단
19,20,배틀그라운드
20,21,꿈의 집 (Homescapes)
21,22,디지몬 리얼라이즈 -Digimon ReArise-
22,23,Perfect Slices
23,24,꿈의 정원 (Gardenscapes)
24,25,신의 연대기-신규서버오픈
25,26,1945
26,27,Square Bird
27,28,Cool Goal!
28,29,오늘도 우라라 원시 헌팅 라이프
29,30,I Peel Good
30,31,Granny Legend
31,32,올스타 스매시
32,33,Zipline Valley - 물리학 퍼즐 게임
33,34,Dinosaur Rampage
34,35,Puzzle Fuzzle
35,36,Sand Balls
36,37,신강호
37,38,Magic Tiles 3
38,39,이터:던전의 포식자
39,40,Bouncemasters!
40,41,3차원 채우기 (Fill in 3D)
41,42,Mario Kart Tour
42,43,피망 뉴맞고 : 고스톱으로 대한민국 1등
43,44,바이러스 워 - 우주 슈팅 게임
44,45,Zooba - 동물원 배틀 아레나
45,46,Fun Race 3D
46,47,Empires & Puzzles: RPG Quest
47,48,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
48,49,ROBLOX
49,50,신비아파트 고스트헌터
50,51,꿈의 마을 (Township)
51,52,클래시 로얄
52,53,스도쿠 - 무료 클래식 스도쿠 퍼즐
53,54,Mr Bullet - 스파이 퍼즐
54,55,Color Saw 3D
55,56,피츠메이커
56,57,무한의 농장
57,58,피망 섯다
58,59,좀비고등학교
59,60,리치리치
60,61,The Real Juggle
61,62,Rider
62,63,Rummikub
63,64,aquapark.io
64,65,Color Fill 3D
65,66,전투 마스터
66,67,장기2.0
67,68,한게임 포커
68,69,Robot Clash
69,70,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
70,71,장기의 달인
71,72,Minecraft 체험판
72,73,마피아42
73,74,Nonogram.com - 픽처 크로스 퍼즐 게임
74,75,지오메트리 대시 라이트 (Geometry Dash L)
75,76,리니지M
76,77,환란 삼국지
77,78,숨바꼭질 온라인 - 실시간 숨바꼭질
78,79,Happy Glass
79,80,Run Race 3D
80,81,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
81,82,토킹톰 골드런
82,83,LoL 프렌즈
83,84,Crowd City
84,85,Two Dots
85,86,쿠키런: 오븐브레이크
86,87,타워 브레이커(Tower Breaker) - 신의 탑 부수기
87,88,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
88,89,한게임 신맞고 : 대한민국 원조 고스톱
89,90,왕국건설 스토리
90,91,도끼.io
91,92,Paper.io 2
92,93,FIFA ONLINE 4 M by EA SPORTS™
93,94,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
94,95,세븐나이츠
95,96,"Happy Color – 컬러링북, 숫자 색칠 게임"
96,97,"Numpuz: Classic Number Games, Num Riddle Puzzle"
97,98,붕괴3rd
98,99,쌍삼국지
99,100,Rope Slash
