,rank,name
0,1,리니지2M(19)
1,2,Brain Out – 가장 어색한 게임
2,3,엑소스 히어로즈
3,4,리니지2M(12)
4,5,Park of Monster
5,6,Pocket World 3D
6,7,Sky Roller
7,8,Puzzrama (퍼즈라마)
8,9,무한의 계단
9,10,탄탄러시
10,11,Ink Inc. - Tattoo Tycoon
11,12,워드퍼즐 - 단어 게임
12,13,킹 오브 타워
13,14,Cannon Shot!
14,15,브롤스타즈
15,16,무한의 농장
16,17,Clash of Blocks
17,18,콜 오브 듀티: 모바일
18,19,기적의 검
19,20,Fun Race 3D
20,21,꿈의 집 (Homescapes)
21,22,Run Race 3D
22,23,애프터라이프
23,24,Pokémon GO
24,25,로드 크래쉬
25,26,염왕이 뿔났다
26,27,Crazy Shopping
27,28,꿈의 정원 (Gardenscapes)
28,29,꽃피는 달빛
29,30,Mr Bullet - 스파이 퍼즐
30,31,Sandwich!
31,32,ROBLOX
32,33,킹 오브 파이터 올스타
33,34,Rescue Cut - Rope Puzzle
34,35,Icing On The Cake
35,36,배틀그라운드
36,37,Supreme Duelist Stickman
37,38,Tales Rush!
38,39,꿈의 마을 (Township)
39,40,Minecraft 체험판
40,41,계급장 키우기
41,42,Gang Clash
42,43,왕비의 맛
43,44,Paper.io 2
44,45,클래시 로얄
45,46,라이즈 오브 킹덤즈
46,47,aquapark.io
47,48,질풍닌자전
48,49,Dancing Line
49,50,Sand Balls
50,51,펭귄의 섬
51,52,Color Saw 3D
52,53,Perfect Slices
53,54,Dancing Road: Color Ball Run!
54,55,바이러스 워 - 우주 슈팅 게임
55,56,Stencil Art - Spray Masters
56,57,Zipline Valley - 물리학 퍼즐 게임
57,58,궁수의 전설
58,59,Rider
59,60,보틀 점프 3D
60,61,Piano Tiles 2™
61,62,Square Bird
62,63,신강호
63,64,Wrecking Ball
64,65,지오메트리 대시 라이트 (Geometry Dash L)
65,66,두근두근 레스토랑: 헬로키티 콜라보레이션
66,67,Overloaded
67,68,V4
68,69,Tank Stars
69,70,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
70,71,마피아42
71,72,롤링 스카이
72,73,"좋은 피자, 위대한 피자"
73,74,토킹톰 골드런
74,75,Rummikub
75,76,Line Driver
76,77,Puzzle Fuzzle
77,78,Crowd City
78,79,Cool Goal!
79,80,오버독스
80,81,부탁해요 매니저님
81,82,토킹톰 히어로 대시
82,83,Happy Glass
83,84,1945
84,85,Magic Tiles 3
85,86,쿠키런: 오븐브레이크
86,87,Draw it
87,88,Snowball.io
88,89,숨바꼭질 온라인 - 실시간 숨바꼭질
89,90,Vlinder Life：Dressup Avatar & Fashion Doll
90,91,Marbleous!
91,92,eFootball PES 2020
92,93,좀비고등학교
93,94,밥 먹고 갈래요?
94,95,스택 볼 - 플랫폼을 다 뚫어버리세요 
95,96,피망 뉴맞고 : 고스톱으로 대한민국 1등
96,97,동물극장 - 귀여운 동물들과 영화보며 힐링
97,98,신비아파트 고스트헌터
98,99,Picker 3D
99,100,쿠키런 for Kakao
