,rank,name
0,1,V4
1,2,Brain Out – 가장 어색한 게임
2,3,Rescue Cut - Rope Puzzle
3,4,콜 오브 듀티: 모바일
4,5,킹 오브 타워
5,6,DX : 신 세기의 전쟁
6,7,Icing On The Cake
7,8,Crazy Shopping
8,9,로드 크래쉬
9,10,Drop & Smash
10,11,오늘도 환생
11,12,라이즈 오브 킹덤즈
12,13,질풍닌자전
13,14,무한의 계단
14,15,Zipline Valley - 물리학 퍼즐 게임
15,16,기적의 검
16,17,Marbleous!
17,18,히어로즈 스트라이크
18,19,Sky Roller
19,20,브롤스타즈
20,21,무한의 농장
21,22,꿈의 마을 (Township)
22,23,신강호
23,24,배틀그라운드
24,25,Granny Legend
25,26,꿈의 집 (Homescapes)
26,27,달빛조각사
27,28,Puzzle Fuzzle
28,29,꽃피는 달빛
29,30,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
30,31,Block Puzzle Universe
31,32,Kick the Buddy: Forever
32,33,워드퍼즐 - 단어 게임
33,34,ROBLOX
34,35,리치리치
35,36,Minecraft 체험판
36,37,Rider
37,38,Hero Wars
38,39,꿈의 정원 (Gardenscapes)
39,40,궁수의 전설
40,41,톰 오브 더 마스크: 컬러
41,42,펭귄의 섬
42,43,피망 뉴맞고 : 고스톱으로 대한민국 1등
43,44,쿠키런: 오븐브레이크
44,45,동물극장 - 귀여운 동물들과 영화보며 힐링
45,46,Perfect Slices
46,47,Wrecking Ball
47,48,aquapark.io
48,49,Sand Balls
49,50,Draw Around
50,51,클래시 로얄
51,52,Fun Race 3D
52,53,로얄 다이스(Royal Dice) : 랜덤 디펜스
53,54,I Peel Good
54,55,V4(12)
55,56,좀비고등학교
56,57,매직 직소 퍼즐
57,58,Pokémon GO
58,59,바이러스 워 - 우주 슈팅 게임
59,60,Zooba - 동물원 배틀 아레나
60,61,익스트림풋볼:3대3 멀티 축구
61,62,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
62,63,블록 퍼즐
63,64,Color Fill 3D
64,65,토킹톰 히어로 대시
65,66,Magic Tiles 3
66,67,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
67,68,Nonogram.com - 픽처 크로스 퍼즐 게임
68,69,지오메트리 대시 라이트 (Geometry Dash L)
69,70,Collect Cubes
70,71,Perfect Paint
71,72,Mr Bullet - 스파이 퍼즐
72,73,리니지M
73,74,클래식 어드벤처
74,75,용사식당
75,76,신의 연대기-신규서버오픈
76,77,고전적인 블록 퍼즐
77,78,Cool Goal!
78,79,OX 퀴즈 서바이벌 100
79,80,피망 섯다
80,81,스도쿠 - 무료 클래식 스도쿠 퍼즐
81,82,Crowd City
82,83,Empires & Puzzles: RPG Quest
83,84,쌍삼국지
84,85,Supreme Duelist Stickman
85,86,봉인의서
86,87,1945
87,88,롤링 스카이
88,89,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
89,90,Dancing Road: Color Ball Run!
90,91,Mario Kart Tour
91,92,숨바꼭질 온라인 - 실시간 숨바꼭질
92,93,삼국지 오리진
93,94,황제라 칭하라
94,95,FIFA ONLINE 4 M by EA SPORTS™
95,96,한게임 포커
96,97,이터:던전의 포식자
97,98,한게임 신맞고 : 대한민국 원조 고스톱
98,99,Gang Clash
99,100,Rolling Domino
