,rank,name
0,1,Mario Kart Tour
1,2,콜 오브 듀티: 모바일
2,3,Brain Out – 가장 어색한 게임
3,4,라이즈 오브 킹덤즈
4,5,신의 연대기-신규서버오픈
5,6,올스타 스매시
6,7,신강호
7,8,Color Saw 3D
8,9,Dinosaur Rampage
9,10,Cool Goal!
10,11,워드퍼즐 - 단어 게임
11,12,I Peel Good
12,13,Idle Stickman
13,14,브롤스타즈
14,15,쌍삼국지
15,16,Puzzle Fuzzle
16,17,오늘도 우라라 원시 헌팅 라이프
17,18,리치리치
18,19,Stop them ALL !
19,20,기적의 검
20,21,Square Bird
21,22,이터:던전의 포식자
22,23,바이러스 워 - 우주 슈팅 게임
23,24,3차원 채우기 (Fill in 3D)
24,25,궁수의 전설
25,26,꿈의 집 (Homescapes)
26,27,무한의 계단
27,28,배틀그라운드
28,29,꿈의 정원 (Gardenscapes)
29,30,Sand Balls
30,31,동물의 집
31,32,Zipline Valley - 물리학 퍼즐 게임
32,33,Perfect Slices
33,34,피망 뉴맞고 : 고스톱으로 대한민국 1등
34,35,Mr Bullet - 스파이 퍼즐
35,36,Marbleous!
36,37,꿈의 마을 (Township)
37,38,Fun Race 3D
38,39,Zooba - 동물원 배틀 아레나
39,40,aquapark.io
40,41,ROBLOX
41,42,Color Fill 3D
42,43,쿵야 캐치마인드
43,44,피망 섯다
44,45,Minecraft 체험판
45,46,The Real Juggle
46,47,Granny Legend
47,48,클래시 로얄
48,49,피츠메이커
49,50,1945
50,51,좀비고등학교
51,52,Wrecking Ball
52,53,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
53,54,Rider
54,55,Run Race 3D
55,56,Polysphere
56,57,Magic Tiles 3
57,58,Rummikub
58,59,Crowd City
59,60,도끼.io
60,61,Kick the Buddy
61,62,신비아파트 고스트헌터
62,63,토킹톰 골드런
63,64,Empires & Puzzles: RPG Quest
64,65,에오스 레드
65,66,토킹톰 히어로 대시
66,67,쿠키런: 오븐브레이크
67,68,항로:새로운 시대
68,69,지오메트리 대시 라이트 (Geometry Dash L)
69,70,바운스볼
70,71,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
71,72,Hungry Shark Evolution
72,73,Knives Crash
73,74,보스레이브
74,75,Paper.io 2
75,76,Merge Magic!
76,77,Supreme Duelist Stickman
77,78,Bottle Flip 3D
78,79,마피아42
79,80,슈퍼펭귄 (Super Penguins)
80,81,요리중독: 미치게 빠르고 레스토랑 요리 게임
81,82,"좋은 피자, 위대한 피자"
82,83,용사식당
83,84,한게임 신맞고 : 대한민국 원조 고스톱
84,85,아웃로 - 실시간 슈팅
85,86,Jelly Shift
86,87,Hole.io
87,88,왕국건설 스토리
88,89,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
89,90,Soul Knight
90,91,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
91,92,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
92,93,FIFA ONLINE 4 M by EA SPORTS™
93,94,maybe-메이비:내가 만드는 이야기
94,95,펭귄의 섬
95,96,스페이스 슈터: 외계인 슈팅게임
96,97,한게임 포커
97,98,파이널레이드
98,99,오목의 달인
99,100,프렌즈레이싱
