,rank,name
0,1,Brain Out – 가장 어색한 게임
1,2,달빛조각사
2,3,콜 오브 듀티: 모바일
3,4,세인트 세이야 : 각성
4,5,봉인의서
5,6,Icing On The Cake
6,7,꽃피는 달빛
7,8,라이즈 오브 킹덤즈
8,9,Wrecking Ball
9,10,노블레스 : 제로 with NAVER WEBTOON
10,11,브롤스타즈
11,12,무한의 계단
12,13,배틀그라운드
13,14,도시어부M
14,15,기적의 검
15,16,궁수의 전설
16,17,꿈의 집 (Homescapes)
17,18,꿈의 정원 (Gardenscapes)
18,19,펭귄의 섬
19,20,워드퍼즐 - 단어 게임
20,21,Perfect Slices
21,22,Cool Goal!
22,23,Zooba - 동물원 배틀 아레나
23,24,오늘도 우라라 원시 헌팅 라이프
24,25,I Peel Good
25,26,1945
26,27,Granny Legend
27,28,Zipline Valley - 물리학 퍼즐 게임
28,29,Sand Balls
29,30,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
30,31,Magic Tiles 3
31,32,무한의 농장
32,33,디지몬 리얼라이즈 -Digimon ReArise-
33,34,Dinosaur Rampage
34,35,ROBLOX
35,36,클래시 로얄
36,37,바이러스 워 - 우주 슈팅 게임
37,38,Square Bird
38,39,올스타 스매시
39,40,Mario Kart Tour
40,41,3차원 채우기 (Fill in 3D)
41,42,신비아파트 고스트헌터
42,43,Bouncemasters!
43,44,신강호
44,45,피망 뉴맞고 : 고스톱으로 대한민국 1등
45,46,이터:던전의 포식자
46,47,Minecraft 체험판
47,48,Rider
48,49,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
49,50,좀비고등학교
50,51,Fun Race 3D
51,52,Rolling Domino
52,53,꿈의 마을 (Township)
53,54,aquapark.io
54,55,Dancing Road: Color Ball Run!
55,56,Empires & Puzzles: RPG Quest
56,57,피츠메이커
57,58,리치리치
58,59,숨바꼭질 온라인 - 실시간 숨바꼭질
59,60,LoL 프렌즈
60,61,스도쿠 - 무료 클래식 스도쿠 퍼즐
61,62,지오메트리 대시 라이트 (Geometry Dash L)
62,63,토킹톰 골드런
63,64,신의 연대기-신규서버오픈
64,65,Color Fill 3D
65,66,피망 섯다
66,67,Mr Bullet - 스파이 퍼즐
67,68,마피아42
68,69,Rummikub
69,70,Star Trek™ 플릿 커맨드
70,71,Color Saw 3D
71,72,소울아크: 리부트
72,73,슈퍼펭귄 (Super Penguins)
73,74,쿠키런: 오븐브레이크
74,75,Crowd City
75,76,토킹톰 히어로 대시
76,77,세레스M
77,78,도끼.io
78,79,Robot Clash
79,80,SweetBeat
80,81,Run Race 3D
81,82,한게임 포커
82,83,전투 마스터
83,84,The Real Juggle
84,85,블록 퍼즐
85,86,OX 퀴즈 서바이벌 100
86,87,펌프잇업 M
87,88,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
88,89,Nonogram.com - 픽처 크로스 퍼즐 게임
89,90,타워 브레이커(Tower Breaker) - 신의 탑 부수기
90,91,"좋은 피자, 위대한 피자"
91,92,회사 탈출3　-탈출 게임
92,93,롤링 스카이
93,94,Happy Glass
94,95,Pokémon GO
95,96,Two Dots
96,97,붕괴3rd
97,98,쌍삼국지
98,99,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
99,100,Shadow of Death: 다크니스 RPG - 지금 싸움을
