,rank,name
0,1,DX : 신 세기의 전쟁
1,2,Icing On The Cake
2,3,Rescue Cut - Rope Puzzle
3,4,Brain Out – 가장 어색한 게임
4,5,Minecraft Earth
5,6,세인트 세이야 : 각성
6,7,킹 오브 타워
7,8,완미세계
8,9,콜 오브 듀티: 모바일
9,10,브롤스타즈
10,11,신강호
11,12,Zipline Valley - 물리학 퍼즐 게임
12,13,데이트 어 라이브: 다시 만난 정령
13,14,로드 크래쉬
14,15,라이즈 오브 킹덤즈
15,16,리치리치
16,17,메탈슬러그 인피니티 - 방치형 RPG
17,18,King of Avalon: 전략 멀티 플레이어 전쟁 | 드래곤 전쟁
18,19,무한의 계단
19,20,Draw Around
20,21,Rolling Domino
21,22,Crazy Shopping
22,23,기적의 검
23,24,Minecraft 체험판
24,25,익스트림풋볼:3대3 멀티 축구
25,26,Empires & Puzzles: RPG Quest
26,27,워드퍼즐 - 단어 게임
27,28,동물극장 - 귀여운 동물들과 영화보며 힐링
28,29,무한의 농장
29,30,Drop & Smash
30,31,꿈의 집 (Homescapes)
31,32,3차원 채우기 (Fill in 3D)
32,33,달빛조각사
33,34,Granny Legend
34,35,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
35,36,판타지타운
36,37,꿈의 정원 (Gardenscapes)
37,38,Puzzle Fuzzle
38,39,꽃피는 달빛
39,40,쿠키런: 오븐브레이크
40,41,궁수의 전설
41,42,"좋은 피자, 위대한 피자"
42,43,Soul Land: 엘피스 전기
43,44,로얄 다이스(Royal Dice) : 랜덤 디펜스
44,45,Mahjong City Tours
45,46,Happy Glass
46,47,피망 뉴맞고 : 고스톱으로 대한민국 1등
47,48,바이러스 워 - 우주 슈팅 게임
48,49,신비아파트 고스트헌터
49,50,Run Race 3D
50,51,매직 직소 퍼즐
51,52,Paper.io 2
52,53,I Peel Good
53,54,노블레스 : 제로 with NAVER WEBTOON
54,55,아르카나 택틱스
55,56,배틀그라운드
56,57,꿈의 마을 (Township)
57,58,마피아42
58,59,마이카페 — 식당게임
59,60,Sand Balls
60,61,Rummikub
61,62,ROBLOX
62,63,Supreme Duelist Stickman
63,64,의지의 히어로
64,65,Perfect Slices
65,66,1945
66,67,보스레이브
67,68,냥코 대전쟁
68,69,Block Puzzle Universe
69,70,Magic Tiles 3
70,71,스택 볼 - 플랫폼을 다 뚫어버리세요 
71,72,지오메트리 대시 라이트 (Geometry Dash L)
72,73,클래시 로얄
73,74,스도쿠 - 무료 클래식 스도쿠 퍼즐
74,75,Fun Race 3D
75,76,Merge Magic!
76,77,Mr Bullet - 스파이 퍼즐
77,78,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
78,79,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
79,80,Cool Goal!
80,81,Rider
81,82,Wrecking Ball
82,83,Snowball.io
83,84,Gang Clash
84,85,Zooba - 동물원 배틀 아레나
85,86,마지막 전투 - 인간 대 좀비
86,87,펭귄의 섬
87,88,탄환 타격 임무
88,89,톰 오브 더 마스크: 컬러
89,90,스페이스 슈터: 외계인 슈팅게임
90,91,Square Bird
91,92,Bottle Flip 3D
92,93,토킹톰 골드런
93,94,마기아 : 카르마 사가
94,95,aquapark.io
95,96,토킹톰 히어로 대시
96,97,"나의최애캐 (언니돌, #unniedoll)"
97,98,롤링 스카이
98,99,Hero Wars
99,100,오늘도 우라라 원시 헌팅 라이프
