date,count,content_count
2019_09_01,63551,4
2019_09_02,34121,2
2019_09_03,10824,2
2019_09_04,0,0
2019_09_05,187,2
2019_09_06,0,0
2019_09_07,0,0
2019_09_08,2255,1
2019_09_09,13804,1
2019_09_10,16339,2
2019_09_11,0,0
2019_09_12,74260,1
2019_09_13,12267,2
2019_09_14,6304,1
2019_09_15,7002,3
2019_09_16,0,0
2019_09_17,10266,1
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,11342,1
2019_09_21,0,0
2019_09_22,5800,1
2019_09_23,0,0
2019_09_24,241,2
2019_09_25,7879,3
2019_09_26,16571,3
2019_09_27,7817,3
2019_09_28,11015,3
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,47501,1
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,27,1
2019_10_07,6348,1
2019_10_08,377,2
2019_10_09,5650,2
2019_10_10,5901,1
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,859,1
2019_10_14,0,0
2019_10_15,3362,1
2019_10_16,26,1
2019_10_17,7001,2
2019_10_18,8688,1
2019_10_19,0,0
2019_10_20,119,1
2019_10_21,668,1
2019_10_22,0,0
2019_10_23,11162,1
2019_10_24,0,0
2019_10_25,5392,1
2019_10_26,11135,1
2019_10_27,154,1
2019_10_28,46980,3
2019_10_29,11,1
2019_10_30,0,0
2019_10_31,2016,2
2019_11_01,247,1
2019_11_02,0,0
2019_11_03,416,1
2019_11_04,257,2
2019_11_05,6482,2
2019_11_06,12922,3
2019_11_07,1908,5
2019_11_08,1345,4
2019_11_09,332,1
2019_11_10,2175,3
2019_11_11,247,1
2019_11_12,6471,2
2019_11_13,3075,3
2019_11_14,5282,2
2019_11_15,11909,2
2019_11_16,5709,2
2019_11_17,5555,4
2019_11_18,3804,1
2019_11_19,5575,1
2019_11_20,7940,2
2019_11_21,123977,3
2019_11_22,22047,4
2019_11_23,15991,3
2019_11_24,4998,1
2019_11_25,4205,2
2019_11_26,6355,3
2019_11_27,9324,3
2019_11_28,10308,1
2019_11_29,6327,2
