date,count,content_count
2019_09_01,14293,3
2019_09_02,19575,1
2019_09_03,0,0
2019_09_04,44283,2
2019_09_05,5078,2
2019_09_06,31071,3
2019_09_07,100,1
2019_09_08,11450,2
2019_09_09,12,1
2019_09_10,0,0
2019_09_11,139613,1
2019_09_12,1370,1
2019_09_13,53428,3
2019_09_14,372439,2
2019_09_15,3511,2
2019_09_16,4358,3
2019_09_17,94858,3
2019_09_18,64931,1
2019_09_19,5041,2
2019_09_20,0,0
2019_09_21,39917,2
2019_09_22,11197,1
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,72217,2
2019_09_26,0,0
2019_09_27,1440,3
2019_09_28,2212,2
2019_09_29,0,0
2019_09_30,7958,2
2019_10_01,15011,4
2019_10_02,20543,4
2019_10_03,4379,3
2019_10_04,187,1
2019_10_05,1210,4
2019_10_06,11,3
2019_10_07,2125,2
2019_10_08,2166,1
2019_10_09,3,1
2019_10_10,440,3
2019_10_11,112,3
2019_10_12,0,0
2019_10_13,39,1
2019_10_14,14,1
2019_10_15,0,0
2019_10_16,18574,4
2019_10_17,138,3
2019_10_18,17,4
2019_10_19,3732,1
2019_10_20,2347,1
2019_10_21,2261,1
2019_10_22,2011,4
2019_10_23,1724188,1
2019_10_24,0,0
2019_10_25,3690,2
2019_10_26,2215,3
2019_10_27,266,1
2019_10_28,0,0
2019_10_29,1062,3
2019_10_30,242655,5
2019_10_31,14805,2
2019_11_01,203539,4
2019_11_02,6921,2
2019_11_03,8326,4
2019_11_04,5,1
2019_11_05,10199,2
2019_11_06,4089,1
2019_11_07,2175,1
2019_11_08,11,3
2019_11_09,1387,7
2019_11_10,1428,7
2019_11_11,24675,4
2019_11_12,1054,3
2019_11_13,585,2
2019_11_14,25347,7
2019_11_15,11502,4
2019_11_16,1411,5
2019_11_17,42,3
2019_11_18,5609,4
2019_11_19,1287,5
2019_11_20,1148,5
2019_11_21,17,4
2019_11_22,23,5
2019_11_23,3467,16
2019_11_24,8060,4
2019_11_25,289,8
2019_11_26,12,6
2019_11_27,475,7
2019_11_28,28,5
2019_11_29,173620,6
