date,count,content_count
2019_09_01,0,0
2019_09_02,12154,1
2019_09_03,11148,1
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,16001,1
2019_09_07,21483,1
2019_09_08,20885,1
2019_09_09,341826,2
2019_09_10,0,0
2019_09_11,30057,1
2019_09_12,16803,1
2019_09_13,2921,3
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,25905,2
2019_09_17,13607,1
2019_09_18,0,0
2019_09_19,24275,2
2019_09_20,26,1
2019_09_21,718014,1
2019_09_22,11095,1
2019_09_23,0,0
2019_09_24,68273,1
2019_09_25,2,1
2019_09_26,0,0
2019_09_27,18559,2
2019_09_28,279337,4
2019_09_29,33992,2
2019_09_30,21,1
2019_10_01,10009,3
2019_10_02,733995,5
2019_10_03,14008,4
2019_10_04,188971,2
2019_10_05,66360,8
2019_10_06,15026,2
2019_10_07,107016,4
2019_10_08,277443,6
2019_10_09,0,0
2019_10_10,14245,2
2019_10_11,47902,4
2019_10_12,52881,8
2019_10_13,16908,2
2019_10_14,456886,4
2019_10_15,23150,1
2019_10_16,266409,1
2019_10_17,24,2
2019_10_18,281767,4
2019_10_19,52503,2
2019_10_20,44,2
2019_10_21,190,1
2019_10_22,31,3
2019_10_23,11,1
2019_10_24,2431,4
2019_10_25,0,0
2019_10_26,328673,3
2019_10_27,21737,3
2019_10_28,436029,1
2019_10_29,0,0
2019_10_30,23310,3
2019_10_31,378054,2
2019_11_01,301305,4
2019_11_02,108022,7
2019_11_03,29,2
2019_11_04,314146,3
2019_11_05,33,1
2019_11_06,1265,1
2019_11_07,1179,2
2019_11_08,281988,6
2019_11_09,115438,9
2019_11_10,185140,5
2019_11_11,174,3
2019_11_12,201036,5
2019_11_13,12,2
2019_11_14,56,7
2019_11_15,252030,4
2019_11_16,14296,5
2019_11_17,20852,6
2019_11_18,293411,3
2019_11_19,41,2
2019_11_20,65851,5
2019_11_21,142828,5
2019_11_22,236052,11
2019_11_23,314306,6
2019_11_24,214376,5
2019_11_25,166581,7
2019_11_26,161633,6
2019_11_27,54849,3
2019_11_28,331646,5
2019_11_29,36,5
