date,count,content_count
2019_09_01,43970,1
2019_09_02,363694,2
2019_09_03,285838,1
2019_09_04,182,2
2019_09_05,19328,4
2019_09_06,9923,1
2019_09_07,846751,1
2019_09_08,941,1
2019_09_09,479527,2
2019_09_10,105554,4
2019_09_11,404383,3
2019_09_12,154066,3
2019_09_13,654158,4
2019_09_14,45012,4
2019_09_15,651815,4
2019_09_16,444188,3
2019_09_17,426350,1
2019_09_18,1234584,3
2019_09_19,62,1
2019_09_20,493,2
2019_09_21,139,3
2019_09_22,89,3
2019_09_23,30,2
2019_09_24,26715,2
2019_09_25,5856,1
2019_09_26,0,0
2019_09_27,699210,1
2019_09_28,83520,5
2019_09_29,75,1
2019_09_30,477276,2
2019_10_01,21630,2
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,317877,3
2019_10_05,93,1
2019_10_06,115433,1
2019_10_07,107,2
2019_10_08,33,2
2019_10_09,79,2
2019_10_10,62,2
2019_10_11,62,1
2019_10_12,28,1
2019_10_13,5522,2
2019_10_14,24,1
2019_10_15,99649,3
2019_10_16,0,0
2019_10_17,51,1
2019_10_18,243730,2
2019_10_19,197,1
2019_10_20,0,0
2019_10_21,0,0
2019_10_22,159,1
2019_10_23,0,0
2019_10_24,45757,1
2019_10_25,10564,3
2019_10_26,501198,4
2019_10_27,81,2
2019_10_28,200512,1
2019_10_29,207,1
2019_10_30,0,0
2019_10_31,96161,3
2019_11_01,817387,3
2019_11_02,219369,4
2019_11_03,0,0
2019_11_04,0,0
2019_11_05,149282,1
2019_11_06,204,1
2019_11_07,0,0
2019_11_08,579,5
2019_11_09,122,2
2019_11_10,64,3
2019_11_11,470,7
2019_11_12,159,1
2019_11_13,50,1
2019_11_14,25,1
2019_11_15,0,0
2019_11_16,162403,3
2019_11_17,0,0
2019_11_18,0,0
2019_11_19,21,3
2019_11_20,44124,4
2019_11_21,0,0
2019_11_22,11,2
2019_11_23,651470,3
2019_11_24,20,4
2019_11_25,33,2
2019_11_26,60,1
2019_11_27,13,3
2019_11_28,40,1
2019_11_29,128134,3
